symbol,price,date,time,timestamp
ACL.N0000,100.0,2026-02-10,15:45:27,2026-02-10 15:45:27
ATL.N0000,25.2,2026-02-10,15:45:27,2026-02-10 15:45:27
YORK.N0000,19.2,2026-02-10,15:45:27,2026-02-10 15:45:27
WIND.N0000,48.2,2026-02-10,15:45:27,2026-02-10 15:45:27
WATA.N0000,48.0,2026-02-10,15:45:27,2026-02-10 15:45:27
WAPO.N0000,121.5,2026-02-10,15:45:27,2026-02-10 15:45:27
VPEL.N0000,15.1,2026-02-10,15:45:27,2026-02-10 15:45:27
VONE.N0000,109.25,2026-02-10,15:45:27,2026-02-10 15:45:27
VLL.X0000,18.5,2026-02-10,15:45:27,2026-02-10 15:45:27
VLL.N0000,22.5,2026-02-10,15:45:27,2026-02-10 15:45:27
VFIN.N0000,105.75,2026-02-10,15:45:27,2026-02-10 15:45:27
UML.N0000,39.7,2026-02-10,15:45:27,2026-02-10 15:45:27
UDPL.N0000,163.75,2026-02-10,15:45:27,2026-02-10 15:45:27
UCAR.N0000,1701.5,2026-02-10,15:45:27,2026-02-10 15:45:27
UBF.N0000,3.1,2026-02-10,15:45:27,2026-02-10 15:45:27
UBC.N0000,14.6,2026-02-10,15:45:27,2026-02-10 15:45:27
UAL.N0000,79.7,2026-02-10,15:45:27,2026-02-10 15:45:27
TYRE.N0000,89.0,2026-02-10,15:45:27,2026-02-10 15:45:27
TSML.N0000,47.1,2026-02-10,15:45:27,2026-02-10 15:45:27
TRAN.N0000,56.7,2026-02-10,15:45:27,2026-02-10 15:45:27
TPL.N0000,140.0,2026-02-10,15:45:27,2026-02-10 15:45:27
TKYO.X0000,85.7,2026-02-10,15:45:27,2026-02-10 15:45:27
TKYO.N0000,105.25,2026-02-10,15:45:27,2026-02-10 15:45:27
TJL.N0000,38.7,2026-02-10,15:45:27,2026-02-10 15:45:27
TILE.N0000,50.4,2026-02-10,15:45:27,2026-02-10 15:45:27
TESS.X0000,1.5,2026-02-10,15:45:27,2026-02-10 15:45:27
TESS.N0000,2.2,2026-02-10,15:45:27,2026-02-10 15:45:27
TAP.N0000,40.3,2026-02-10,15:45:27,2026-02-10 15:45:27
TANG.N0000,126.5,2026-02-10,15:45:27,2026-02-10 15:45:27
TAJ.N0000,37.0,2026-02-10,15:45:27,2026-02-10 15:45:27
TAFL.N0000,694.5,2026-02-10,15:45:27,2026-02-10 15:45:27
SWAD.N0000,15000.0,2026-02-10,15:45:27,2026-02-10 15:45:27
SUN.N0000,33.8,2026-02-10,15:45:27,2026-02-10 15:45:27
STAF.N0000,50.0,2026-02-10,15:45:27,2026-02-10 15:45:27
SPEN.N0000,158.0,2026-02-10,15:45:27,2026-02-10 15:45:27
SOY.N0000,2527.0,2026-02-10,15:45:27,2026-02-10 15:45:27
SMOT.N0000,1650.0,2026-02-10,15:45:27,2026-02-10 15:45:27
SLTL.N0000,100.0,2026-02-10,15:45:27,2026-02-10 15:45:27
SLND.N0000,1806.25,2026-02-10,15:45:27,2026-02-10 15:45:27
SIRA.N0000,37.3,2026-02-10,15:45:27,2026-02-10 15:45:27
SINS.N0000,92.8,2026-02-10,15:45:27,2026-02-10 15:45:27
SINH.N0000,19.7,2026-02-10,15:45:27,2026-02-10 15:45:27
SING.N0000,50.9,2026-02-10,15:45:27,2026-02-10 15:45:27
SIL.N0000,350.0,2026-02-10,15:45:27,2026-02-10 15:45:27
SIGV.N0000,14.8,2026-02-10,15:45:27,2026-02-10 15:45:27
SHOT.X0000,15.2,2026-02-10,15:45:27,2026-02-10 15:45:27
SHOT.N0000,20.3,2026-02-10,15:45:27,2026-02-10 15:45:27
SHL.N0000,7.3,2026-02-10,15:45:27,2026-02-10 15:45:27
SHAW.N0000,223.0,2026-02-10,15:45:27,2026-02-10 15:45:27
SFIN.N0000,57.8,2026-02-10,15:45:27,2026-02-10 15:45:27
SFCL.N0000,905.5,2026-02-10,15:45:27,2026-02-10 15:45:27
SEYB.X0000,75.9,2026-02-10,15:45:27,2026-02-10 15:45:27
SEYB.N0000,110.5,2026-02-10,15:45:27,2026-02-10 15:45:27
SERV.N0000,19.5,2026-02-10,15:45:27,2026-02-10 15:45:27
SEMB.X0000,0.4,2026-02-10,15:45:27,2026-02-10 15:45:27
SEMB.N0000,1.1,2026-02-10,15:45:27,2026-02-10 15:45:27
SDF.N0000,40.0,2026-02-10,15:45:27,2026-02-10 15:45:27
SDB.N0000,66.4,2026-02-10,15:45:27,2026-02-10 15:45:27
SCAP.N0000,6.5,2026-02-10,15:45:27,2026-02-10 15:45:27
SAMP.N0000,156.0,2026-02-10,15:45:27,2026-02-10 15:45:27
RWSL.N0000,22.9,2026-02-10,15:45:27,2026-02-10 15:45:27
RPBH.N0000,60.8,2026-02-10,15:45:27,2026-02-10 15:45:27
RIL.N0000,35.5,2026-02-10,15:45:27,2026-02-10 15:45:27
RICH.N0000,37.9,2026-02-10,15:45:27,2026-02-10 15:45:27
RHTL.N0000,28.6,2026-02-10,15:45:27,2026-02-10 15:45:27
RHL.X0000,40.1,2026-02-10,15:45:27,2026-02-10 15:45:27
RHL.N0000,57.8,2026-02-10,15:45:27,2026-02-10 15:45:27
RGEM.N0000,212.0,2026-02-10,15:45:27,2026-02-10 15:45:27
RFL.N0000,36.0,2026-02-10,15:45:27,2026-02-10 15:45:27
REXP.N0000,409.5,2026-02-10,15:45:27,2026-02-10 15:45:27
RENU.N0000,957.25,2026-02-10,15:45:27,2026-02-10 15:45:27
REEF.N0000,4.3,2026-02-10,15:45:27,2026-02-10 15:45:27
RCL.N0000,51.7,2026-02-10,15:45:27,2026-02-10 15:45:27
RCH.N0000,259.25,2026-02-10,15:45:27,2026-02-10 15:45:27
RAL.N0000,15.7,2026-02-10,15:45:27,2026-02-10 15:45:27
PMB.N0000,13.8,2026-02-10,15:45:27,2026-02-10 15:45:27
PLR.N0000,47.0,2026-02-10,15:45:27,2026-02-10 15:45:27
PLC.N0000,26.0,2026-02-10,15:45:27,2026-02-10 15:45:27
