symbol,price,open,high,low,previous_close,change_rs,change_pct,share_volume,trade_volume,collection_date,collection_timestamp
AFSL.N0000,101.0,102.0,103.25,101.0,104.0,-3.0,-2.88,310,7,2026-02-11,2026-02-11 10:00:23
AEL.N0000,71.0,71.5,71.6,71.0,71.4,-0.4,-0.56,56048,44,2026-02-11,2026-02-11 10:00:23
ACL.N0000,100.0,100.0,100.0,99.4,100.0,0.0,0.0,397312,96,2026-02-11,2026-02-11 10:00:23
APLA.N0000,164.0,170.0,170.0,160.5,168.0,-4.0,-2.38,13189,55,2026-02-11,2026-02-11 10:00:23
ACME.N0000,10.5,11.4,11.4,9.6,11.0,-0.5,-4.55,524602,224,2026-02-11,2026-02-11 10:00:23
AGAL.N0000,59.9,59.9,59.9,59.9,59.1,0.8,1.35,1002,4,2026-02-11,2026-02-11 10:00:23
AGPL.N0000,18.3,18.5,18.5,18.3,18.3,0.0,0.0,10105,6,2026-02-11,2026-02-11 10:00:23
AGST.N0000,10.8,10.9,10.9,10.6,10.6,0.2,1.89,24105,12,2026-02-11,2026-02-11 10:00:23
AHUN.N0000,110.0,116.0,116.0,110.0,109.25,0.75,0.69,2857,11,2026-02-11,2026-02-11 10:00:23
SPEN.N0000,160.0,158.0,160.0,158.0,158.0,2.0,1.27,126,2,2026-02-11,2026-02-11 10:00:23
ALLI.N0000,365.0,365.0,365.0,365.0,365.0,0.0,0.0,10,2,2026-02-11,2026-02-11 10:00:23
AFS.N0000,42.1,42.1,42.1,42.1,42.1,0.0,0.0,1,1,2026-02-11,2026-02-11 10:00:23
ALUM.N0000,18.9,19.2,19.2,18.7,19.3,-0.4,-2.07,126406,107,2026-02-11,2026-02-11 10:00:23
ABL.N0000,29.9,29.9,29.9,29.9,29.9,0.0,0.0,716,2,2026-02-11,2026-02-11 10:00:23
ATLL.N0000,36.0,36.0,36.0,36.0,35.1,0.9,2.56,2,1,2026-02-11,2026-02-11 10:00:23
ATL.N0000,24.7,25.0,25.0,24.7,24.6,0.1,0.41,10665,5,2026-02-11,2026-02-11 10:00:23
TAP.N0000,39.9,40.0,40.0,39.9,40.0,-0.1,-0.25,5930,14,2026-02-11,2026-02-11 10:00:23
GREG.N0000,155.0,154.0,155.0,154.0,153.5,1.5,0.98,2000,3,2026-02-11,2026-02-11 10:00:23
AAF.N0000,57.0,57.0,57.0,57.0,56.3,0.7,1.24,558,4,2026-02-11,2026-02-11 10:00:23
ASIY.N0000,12.7,12.9,12.9,12.5,12.8,-0.1,-0.78,78667,28,2026-02-11,2026-02-11 10:00:23
AHPL.N0000,58.0,58.0,58.0,58.0,56.6,1.4,2.47,2,1,2026-02-11,2026-02-11 10:00:23
ASIR.N0000,33.0,33.6,33.6,33.0,33.6,-0.6,-1.79,15572,31,2026-02-11,2026-02-11 10:00:23
AMF.N0000,67.5,65.0,67.5,65.0,65.1,2.4,3.69,1001,2,2026-02-11,2026-02-11 10:00:23
BPPL.N0000,19.3,19.3,19.3,19.3,19.3,0.0,0.0,171,2,2026-02-11,2026-02-11 10:00:23
BFL.N0000,84.0,85.1,85.1,84.0,85.1,-1.1,-1.29,6073,32,2026-02-11,2026-02-11 10:00:23
BALA.N0000,68.5,68.5,68.5,68.5,67.6,0.9,1.33,2,1,2026-02-11,2026-02-11 10:00:23
BERU.N0000,3.7,3.7,3.7,3.7,3.6,0.1,2.78,5025,2,2026-02-11,2026-02-11 10:00:23
BOGA.N0000,148.0,150.0,150.0,148.0,149.5,-1.5,-1.0,1774,19,2026-02-11,2026-02-11 10:00:23
BRWN.N0000,184.0,185.0,185.5,184.0,186.75,-2.75,-1.47,6086,22,2026-02-11,2026-02-11 10:00:23
BIL.N0000,6.8,6.8,6.9,6.7,6.7,0.1,1.49,123471,32,2026-02-11,2026-02-11 10:00:23
CIC.N0000,35.4,35.9,35.9,35.4,35.9,-0.5,-1.39,25562,39,2026-02-11,2026-02-11 10:00:23
CIC.X0000,28.9,29.0,29.0,28.9,28.5,0.4,1.4,889,4,2026-02-11,2026-02-11 10:00:23
COLO.N0000,59.0,60.9,60.9,59.0,58.2,0.8,1.37,201,3,2026-02-11,2026-02-11 10:00:23
CTHR.N0000,650.0,655.0,655.0,650.0,646.0,4.0,0.62,4,2,2026-02-11,2026-02-11 10:00:23
CWM.N0000,42.0,42.0,42.0,42.0,41.6,0.4,0.96,682,2,2026-02-11,2026-02-11 10:00:23
CSLK.N0000,14.4,14.5,14.5,14.2,14.2,0.2,1.41,25305,5,2026-02-11,2026-02-11 10:00:23
CALI.U0000,16.8,16.6,16.8,16.5,16.5,0.3,1.82,1609,9,2026-02-11,2026-02-11 10:00:23
CALH.N0000,18.2,18.2,18.2,17.8,18.0,0.2,1.11,52033,32,2026-02-11,2026-02-11 10:00:23
CALT.N0000,52.5,53.0,53.0,52.4,53.0,-0.5,-0.94,47258,142,2026-02-11,2026-02-11 10:00:23
CARG.N0000,750.0,758.75,759.75,750.0,730.0,20.0,2.74,14,5,2026-02-11,2026-02-11 10:00:23
CBNK.N0000,9.8,9.8,9.8,9.6,9.7,0.1,1.03,196759,54,2026-02-11,2026-02-11 10:00:23
CABO.N0000,221.25,220.0,221.25,220.0,220.75,0.5,0.23,9987,8,2026-02-11,2026-02-11 10:00:23
CFIN.N0000,276.0,280.0,280.0,275.75,275.5,0.5,0.18,184,6,2026-02-11,2026-02-11 10:00:23
CIND.N0000,260.0,260.0,260.25,259.75,260.0,0.0,0.0,7752,14,2026-02-11,2026-02-11 10:00:23
CINS.X0000,1752.0,1752.0,1752.0,1752.0,1790.0,-38.0,-2.12,30,1,2026-02-11,2026-02-11 10:00:23
BREW.N0000,2760.0,2760.0,2760.0,2760.0,2762.25,-2.25,-0.08,2,1,2026-02-11,2026-02-11 10:00:23
CCS.N0000,112.75,112.75,112.75,112.5,112.75,0.0,0.0,2198,8,2026-02-11,2026-02-11 10:00:23
GRAN.N0000,460.0,460.0,465.0,460.0,458.5,1.5,0.33,165,6,2026-02-11,2026-02-11 10:00:23
GUAR.N0000,268.0,268.0,268.0,268.0,270.0,-2.0,-0.74,1,1,2026-02-11,2026-02-11 10:00:23
CHL.N0000,340.0,340.0,340.0,337.5,341.0,-1.0,-0.29,379,3,2026-02-11,2026-02-11 10:00:23
CHL.X0000,256.0,256.0,256.0,256.0,258.75,-2.75,-1.06,49,2,2026-02-11,2026-02-11 10:00:23
CHOT.N0000,41.1,42.4,42.4,41.1,41.2,-0.1,-0.24,270,2,2026-02-11,2026-02-11 10:00:23
CINV.N0000,126.5,127.5,127.5,126.5,127.75,-1.25,-0.98,15027,11,2026-02-11,2026-02-11 10:00:23
KZOO.N0000,22.6,21.6,22.7,21.6,21.8,0.8,3.67,409530,114,2026-02-11,2026-02-11 10:00:23
