symbol,price,dollarvolume,high,high52,daysgap,change,open,close,averagevolume,changefromopen,volume,low,low52,relativevolume,beta,marketcap,peratio,pfcfratio,evsales,evebit,earningsyield,ptbvratio,peratio10y,enterprisevalue,psratio,pocfratio,evearnings,evfcf,fcfyield,peratio3y,peforward,pbratio,pegratio,evebitda,priceebitda,fcfevyield,peratio5y,rsi,atr,ma20,ma200,ma150ch,rsiweekly,sharperatio,ma50,ma20ch,ma200ch,rsimonthly,sortinoratio,ma50ch,ma150,ma50vs200,n,exchange,employeeschange,lastreportdate,isin,industry,country,employeeschangepercent,fiscalyearend,website,sector,employees,founded,isprimarylisting,earningsdate,lastearningsdate,nextearningsdate,low52ch,alltimehighchange,alltimelowchange,high52ch,alltimehighdate,alltimelowdate,alltimehigh,alltimelow,ch1w,ch6m,ch3y,ch15y,ch1m,chytd,ch5y,ch20y,ch3m,ch10y,ch1y,tr1w,tr6m,tr3y,tr15y,tr1m,trytd,tr5y,tr20y,tr3m,tr1y,tr10y,cagr1y,cagr10y,cagr3y,cagr15y,cagr5y,cagr20y,dividendyield,dividendgrowth,divcagr5,payoutfrequency,exdivdate,dps,dividendgrowthyears,divcagr10,buybackyield,paymentdate,lastdividend,divcagr3,payoutratio,totalreturn,sharesout,sharesqoq,float,sharesinsiders,sharesyoy,sharesinstitutions,revenue,revenuegrowth3y,revenuegrowthquarters,revenuegrowth,revenuegrowth5y,revenuegrowthq,revenuegrowthyears,netincome,netincomegrowth3y,netincomegrowthquarters,netincomegrowth,netincomegrowth5y,netincomegrowthq,netincomegrowthyears,eps,epsgrowth3y,epsgrowthquarters,epsgrowth,epsgrowth5y,epsgrowthq,epsgrowthyears,grossprofit,grossprofitgrowth3y,operatingincomegrowth,operatingincomegrowth5y,grossprofitgrowth,grossprofitgrowth5y,operatingincomegrowth_view_8,operatingincomegrowth5y_view_8,grossprofitgrowth_view_8,grossprofitgrowth5y_view_8,operatingincomegrowthq,ebit,grossprofitgrowthq,operatingincome,operatingincomegrowth3y,ebitda,grossmargin,profitmargin,ebitmargin,operatingmargin,fcfmargin,pretaxmargin,ebitdamargin,operatingcf,netcf,adjustedfcf,ocfgrowth,fcfgrowthq,ocfgrowth5y,investingcf,capex,fcfpershare,fcfgrowth3y,ocfgrowthq,ocfgrowth10y,financingcf,fcf,fcfgrowth,fcfgrowth5y,ocfgrowth3y,sharebasedcomp,rndbyrevenue,sbcbyrevenue,researchanddevelopment,total_assets,total_liabilities,total_equity,working_capital_view10,net_working_capital,total_cash,total_debt,net_cash,tangible_book_value,debtgrowthqoq,netcashgrowth,debtgrowth3y,debtgrowth,debtgrowth5y,netcashbymarketcap,bvpershare,tangiblebookvaluepershare,currentratio,debtebitda,quickratio,debtfcf,debtequity,interestcoverage,shortratio,roe,roce,roic5y,roa,roe5y,revperemployee,roic,roa5y,profitperemployee,lastsplittype,lastsplitdate,incometax,taxrate,taxbyrevenue,ffo,pffo,lynchfairvalue,grahamupside,grahamnumber,lynchupside,assetturnover,fscore,inventoryturnover,zscore,asset_turnover,capex_intensity,fcf_margin_calc,fcf_margin,debt_to_assets,data_date,last_updated
AAF.N0000,None,963970.0,None,None,0.52,None,None,None,None,-2.76,None,None,None,22.11,0.39,6990000000.0,19.18,None,None,None,7.72,1.88,8.99,,1.94,None,None,None,-121.93,6.01,None,1.67,None,None,None,None,7.27,68.10,2.07,54.86,48.26,9.33,60.54,2.06,53.36,4.99,19.35,73.86,3.98,7.95,52.68,50over200,Asia Asset Finance PLC,Colombo Stock Exchange,330,Sep 30 2025,None,Commercial Banks,Sri Lanka,45.58,March,asiaassetfinance.com,None,1054,1970,True,Feb 3 2026,Feb 3 2026,Feb 11 2026,125.20,-35.28,1100.00,-13.38,Jan 18 2012,May 12 2020,89.00,4.80,3.78,17.07,638.46,None,0.88,8.68,700.00,None,-2.21,284.00,99.31,3.78,17.07,638.46,None,0.88,8.68,700.00,None,-2.21,99.31,301.57,99.40,14.91,94.71,None,51.58,None,None,None,None,None,None,0,None,None,-3.46,None,0.70,None,5.37,-3.46,124200000.0,0.17,4950000.0,6.37,3.46,None,3610000000.0,29.39,None,87.26,30.04,98.15,None,540120000.0,32.15,None,4.28,98.89,18.10,None,2.94,27.91,None,0.59,83.85,9.82,None,3610000000.0,None,67.65,78.34,None,None,67.65,78.34,None,None,82.03,,None,930260000.0,40.76,,100.00,14.98,None,25.79,None,26.90,None,-8020000000.0,-885950000.0,-8529999999.999999,None,None,None,814080000.0,-507350000.0,-68.64,None,None,None,6320000000.0,-8529999999.999999,None,None,None,,None,None,None,42790000000.0,38610000000.0,4179999999.9999995,15660000000.0,,1270000000.0,16190000000.000002,-14920000000.0,3720000000.0,-1.82,,21.48,70.03,22.4,-213.41,30.29,29.94,1.7,,1.70,-1.90,3.88,None,None,13.77,None,2.10,1.44,8.04,3420000.0,2.54,1.01,512440.00000000006,Reverse,Feb 7 2019,429960000.0,44.32,11.92,None,None,73.38,-20.56,44.73,30.34,0.10,4,None,None,0.0843655059593363,-14.054016620498617,-236.28808864265926,-236.28808864265926,37.83594297733116,2026-02-11,2026-02-11T18:03:30.358819
AAF.P0000,None,26630.0,None,None,2.80,None,None,None,None,-1.15,None,None,None,45.19,None,6990000000.0,12.95,None,None,None,7.72,1.88,8.99,,1.94,None,None,None,-121.93,6.01,None,1.67,None,None,None,None,7.27,57.56,4.78,66.26,50.39,21.17,63.54,2.15,65.93,4.14,36.94,84.51,3.81,4.66,56.95,50over200,Asia Asset Finance PLC,Colombo Stock Exchange,330,Sep 30 2025,None,Commercial Banks,Sri Lanka,45.58,March,asiaassetfinance.com,None,1054,1970,False,Feb 3 2026,Feb 3 2026,Feb 11 2026,164.37,-14.29,68900.00,-14.29,Oct 10 2025,Jul 28 2021,80.50,0.10,10.75,35.56,557.14,None,-0.72,7.81,None,None,-1.85,None,135.50,10.75,37.09,617.80,None,-0.72,7.81,None,None,-0.74,142.83,None,142.98,None,92.87,None,None,None,2.03,None,None,None,Dec 16 2025,1.40,1,None,-3.46,Jan 5 2026,0.70,484.80,5.37,-1.43,,0.17,4950000.0,6.37,3.46,None,3610000000.0,29.39,None,87.26,30.04,98.15,None,540120000.0,32.15,None,4.28,98.89,18.10,None,2.94,27.91,None,0.59,83.85,9.82,None,3610000000.0,None,67.65,78.34,None,None,67.65,78.34,None,None,82.03,,None,930260000.0,40.76,,100.00,14.98,None,25.79,None,26.90,None,-8020000000.0,-885950000.0,-8529999999.999999,None,None,None,814080000.0,-507350000.0,None,None,None,None,6320000000.0,-8529999999.999999,None,None,None,,None,None,None,42790000000.0,38610000000.0,4179999999.9999995,15660000000.0,,1270000000.0,16190000000.000002,-14920000000.0,3720000000.0,-1.82,,21.48,70.03,22.4,-213.41,30.29,29.94,1.7,,1.70,-1.90,3.88,None,None,13.77,None,2.10,1.44,8.04,3420000.0,2.54,1.01,512440.00000000006,None,None,429960000.0,44.32,11.92,None,None,133.25,1.88,70.30,93.11,0.10,4,None,None,0.0843655059593363,-14.054016620498617,-236.28808864265926,-236.28808864265926,37.83594297733116,2026-02-11,2026-02-11T18:03:30.358819
AAIC.N0000,None,3590000.0,None,None,-0.81,None,None,None,None,-0.23,None,None,None,12.97,0.82,27430000000.0,7.85,3.43,0.60,3.28,14.45,2.43,6.93,27980000000.0,0.59,3.37,7.06,3.50,29.19,8.01,None,2.36,None,3.08,3.16,28.61,8.05,62.38,3.66,79.98,75.26,9.94,63.52,0.96,76.49,6.53,13.21,58.01,1.91,11.39,77.50,50over200,Softlogic Life Insurance PLC,Colombo Stock Exchange,14,Sep 30 2025,None,Insurance Carriers,Sri Lanka,2.11,December,softlogiclife.lk,None,677,1999,True,Feb 6 2026,Feb 6 2026,Feb 13 2026,34.06,-65.78,22499.47,-10.63,Feb 1 2022,Apr 11 2003,249.00,0.38,-1.84,3.52,-30.59,432.50,14.36,9.79,166.25,7473.33,10.65,460.53,7.31,-1.84,9.29,-12.66,942.73,14.36,9.79,272.31,15969.17,10.65,13.28,829.18,13.29,24.97,-4.41,16.92,30.08,28.91,5.28,None,29.20,Annual,Aug 21 2025,4.50,None,32.66,-8.36,Sep 10 2025,4.50,37.00,71.85,-3.08,316410000.0,0.06,23590000.0,4.07,8.36,0.37,46410000000.0,27.13,None,29.97,25.45,21.93,None,3960000000.0,14.38,None,-0.43,28.06,34.86,None,11.05,16.10,None,-8.18,29.27,59.43,None,22100000000.0,None,None,None,None,None,None,None,None,None,None,8539999999.999999,None,8539999999.999999,None,8670000000.0,47.61,8.54,18.40,18.40,17.25,12.02,18.69,8130000000.000001,1230000000.0,8010000000.0,69.84,100.63,0.85,-2190000000.0,-127660000.0,25.30,3.32,98.96,17.37,-4720000000.0,8010000000.0,72.57,0.90,3.54,,None,None,None,69090000000.0,57480000000.0,11620000000.0,11430000000.0,11980000000.0,12680000000.0,3580000000.0,-550870000.0,11300000000.0,2.84,,-15.56,-29.09,79.18,-2.01,36.72,35.7,3.03,0.39,2.92,0.45,0.31,12.66,None,38.01,13.45,20.16,8.95,24.78,68560000.0,39.63,6.16,5850000.0,Forward,Jul 24 2015,1620000000.0,28.96,3.48,None,None,276.20,12.14,95.54,224.17,0.78,5,None,None,0.6717325227963525,-0.27507002801120445,17.259211376858435,17.259211376858435,5.181647126935881,2026-02-11,2026-02-11T18:03:30.358819
ABAN.N0000,None,1230000.0,None,None,-2.83,None,None,None,None,-2.16,None,None,None,151.13,0.75,6630000000.0,11.69,8.67,0.78,7.05,8.55,2.22,6.60,5610000000.0,0.93,6.80,9.90,7.34,11.53,4.33,None,2.22,None,6.21,7.48,13.62,5.19,51.66,52.10,1296.70,900.03,21.35,60.38,2.09,1264.36,0.00,44.08,75.58,4.63,2.56,1068.61,50over200,Abans Electricals PLC,Colombo Stock Exchange,130,Sep 30 2025,None,Household Appliances,Sri Lanka,20.06,March,abansgroup.com,None,778,1968,True,Feb 11 2026,Feb 11 2026,Feb 11 2026,252.21,-20.20,66984.84,-24.14,Oct 31 2025,Dec 30 1998,1625.00,1.93,7.61,123.67,709.20,429.83,-5.62,3.97,584.30,2234.13,-13.39,1004.56,177.08,7.61,127.04,787.23,665.76,-5.62,3.97,688.17,4485.55,-13.39,181.26,1374.95,181.45,30.88,106.99,14.54,51.13,21.08,1.19,50.00,37.97,Annual,Sep 26 2025,15.00,2,17.46,-0.01,Oct 16 2025,15.00,44.22,9.01,1.18,5110000.0,-0.01,658440.0,32.02,0.01,None,7150000000.0,8.62,None,0.59,19.77,1.14,None,566910000.0,57.17,None,-6.22,52.76,-19.14,None,110.93,57.15,None,-6.22,52.77,-19.12,None,1800000000.0,37.53,-10.14,55.94,8.08,33.98,-10.14,55.94,8.08,33.98,-15.79,795350000.0,6.09,795350000.0,36.96,885820000.0,25.16,7.93,11.12,11.12,10.68,11.39,12.38,975200000.0,352990000.0,764100000.0,233.75,None,35.25,-215880000.0,-211100000.0,149.51,None,None,16.41,-406330000.0,764100000.0,221.04,48.26,None,,None,None,None,5850000000.0,2860000000.0,2990000000.0,1820000000.0,759520000.0,1310000000.0,297600000.0,1020000000.0,2990000000.0,118.3,194.51,-37.89,-56.8,-10.13,15.35,584.29,584.29,1.71,0.33,1.15,0.39,0.10,24.24,None,20.66,24.24,12.63,9.01,13.11,9190000.0,30.15,5.56,728680.0,Forward,Sep 25 2013,247870000.0,30.42,3.47,None,None,2773.20,-6.87,1207.61,113.86,1.30,6,3.83,3.09,1.2222222222222223,-2.9524475524475524,10.686713286713287,10.686713286713287,5.087179487179487,2026-02-11,2026-02-11T18:03:30.358819
ABL.N0000,None,858040.0,None,None,None,None,None,None,None,-0.33,None,None,None,9.77,0.14,16480000000.0,7.27,None,None,None,13.73,0.68,19.48,,1.67,None,None,None,-188.71,7.82,None,0.67,None,None,None,None,9.86,52.26,0.67,30.03,26.46,8.28,57.79,0.78,29.77,-0.08,13.38,62.96,1.73,0.77,27.71,50over200,Amãna Bank PLC,Colombo Stock Exchange,39,Sep 30 2025,None,Commercial Banks,Sri Lanka,4.35,December,amanabank.lk,None,935,2009,True,Feb 25 2026,Nov 10 2025,Feb 25 2026,37.79,-50.97,104.75,-9.94,Jan 29 2014,May 12 2020,61.19,14.65,1.70,22.95,4.25,None,-3.23,None,-4.37,None,5.26,-25.94,20.00,1.70,28.89,17.73,None,-3.23,None,7.99,None,5.26,25.80,-11.90,25.82,-1.26,5.59,None,1.55,None,4.33,8.33,1.61,None,Sep 30 2025,1.30,4,None,-68.57,Oct 21 2025,1.30,2.70,26.09,-64.24,551130000.0,0.22,79800000.0,15.37,68.57,None,9870000000.0,28.93,None,24.73,22.38,48.57,None,2260000000.0,31.63,None,40.13,51.85,98.34,None,4.11,5.79,None,-16.88,34.87,96.92,None,9870000000.0,None,None,None,None,None,None,None,None,None,None,,None,3620000000.0,None,,None,22.92,None,36.62,None,35.96,None,-30950000000.0,-1320000000.0,-31100000000.0,None,None,None,6880000000.0,-149040000.0,-56.42,None,None,None,22750000000.0,-31100000000.0,None,None,None,,None,None,None,202580000000.0,177870000000.0,24710000000.0,-121340000000.0,,43490000000.0,2570000000.0,40910000000.0,24220000000.0,69.22,-22.26,-45.86,8493.97,111.6,248.29,44.84,43.95,,,None,-0.08,None,None,None,9.52,None,None,1.21,6.28,10560000.0,None,0.76,2420000.0,Reverse,Jul 8 2024,1290000000.0,36.27,13.04,None,None,102.77,115.39,64.40,243.71,None,2,None,None,0.048721492743607465,-1.510030395136778,-315.09625126646404,-315.09625126646404,1.2686346134860302,2026-02-11,2026-02-11T18:03:30.358819
ACAP.N0000,None,909760.0,None,None,3.03,None,None,None,None,2.94,None,None,None,151.20,0.37,919310000.0,1.62,0.93,65.72,8.22,55.33,None,None,6650000000.0,9.09,0.82,13.06,6.72,107.52,None,None,-0.90,None,8.30,1.18,14.87,None,60.32,0.35,6.38,4.95,32.25,60.08,1.15,6.38,9.80,41.50,71.04,2.50,9.68,5.29,50over200,Asia Capital PLC,Colombo Stock Exchange,-26,Sep 30 2025,None,Hotels Rooming Houses Camps and Other Lodging Places,Sri Lanka,-14.44,March,asiacapital.lk,None,154,1991,True,Feb 12 2026,Nov 13 2025,Feb 12 2026,94.44,-94.17,153.07,-27.08,Jul 12 2011,Jun 11 2001,120.00,2.77,2.94,79.49,75.00,-88.75,14.75,16.67,1.45,-41.67,45.83,-5.41,75.00,2.94,79.49,75.00,-87.69,14.75,16.67,1.45,-36.18,45.83,75.00,-5.41,75.07,-0.55,20.50,-13.03,0.29,-2.22,None,None,None,None,None,0,None,None,-0.22,None,6.95,None,None,-0.22,131330000.00000001,28.25,7990000.0,85.49,0.22,None,101120000.0,-41.06,None,39.58,-17.82,None,None,508700000.0,None,None,None,None,None,None,3.87,None,None,None,None,None,None,54890000.0,-36.78,None,None,100.33,-18.88,None,None,100.33,-18.88,None,791390000.0,None,791390000.0,None,780820000.0,54.28,503.05,782.61,782.61,977.51,666.73,772.15,1120000000.0,842980000.0,988480000.0,None,1314.07,None,-207830000.0,-129280000.0,7.53,None,1314.07,None,-66959999.99999999,988480000.0,None,None,None,,None,None,None,4810000000.0,5830000000.0,-1020000000.0,-3040000000.0,325180000.0,48680000.0,5270000000.0,-5220000000.0,-1790000000.0,1.99,,5.19,11.99,13.65,-567.92,-11.65,-13.6,0.23,6.72,0.23,5.33,None,3.65,None,None,95.61,-4.71,10.54,None,656640.0,14.94,-2.32,3300000.0,Forward,Sep 16 1996,115230000.0,17.09,113.95,None,None,None,None,None,None,0.02,7,4.30,-1.64,0.021022869022869022,-127.84810126582278,977.5316455696203,977.5316455696203,109.56340956340955,2026-02-11,2026-02-11T18:03:30.358819
ACL.N0000,None,97200000.0,None,None,None,None,None,None,None,-0.40,None,None,None,55.94,0.18,71870000000.0,13.44,19.74,1.60,7.76,7.44,2.12,6.09,64610000000.0,1.77,18.85,12.08,17.75,5.07,5.94,10.99,1.82,None,7.43,8.32,5.63,5.55,53.43,2.11,102.19,66.00,36.65,80.35,3.18,92.07,-2.15,51.51,87.38,6.81,8.61,73.18,50over200,ACL Cables PLC,Colombo Stock Exchange,72,Sep 30 2025,None,Drawing and Insulating of Nonferrous Wire,Sri Lanka,5.01,March,acl.lk,None,1508,1962,True,Feb 12 2026,Nov 13 2025,Feb 12 2026,159.83,-7.19,46303.71,-7.56,Jan 22 2026,Aug 29 2001,107.75,0.22,-0.99,65.75,308.73,1265.19,-3.38,11.36,572.63,4700.77,35.60,940.80,124.72,-0.99,67.01,325.27,1767.28,-3.38,11.36,627.65,7020.05,35.60,126.43,1222.10,126.55,29.45,62.00,21.55,48.73,23.77,0.50,20.00,8.45,Annual,Sep 26 2025,0.50,1,7.18,-0.02,Oct 16 2025,0.50,6.27,None,0.48,718720000.0,0.13,221550000.0,64.98,0.02,15.45,40490000000.0,3.59,None,19.64,17.12,19.92,None,5350000000.0,-11.20,None,38.85,40.81,38.75,None,7.44,-11.20,None,38.83,40.83,38.78,None,11200000000.0,-2.28,38.14,36.35,29.68,27.30,38.14,36.35,29.68,27.30,18.82,8279999999.999999,15.42,8279999999.999999,-4.90,8640000000.0,27.66,13.21,20.44,20.44,8.99,22.66,21.34,3810000000.0,1310000000.0,3640000000.0,111.01,-94.54,31.25,-1480000000.0,-171630000.0,5.07,-16.99,-88.68,8.18,-1020000000.0,3640000000.0,160.48,34.59,-17.42,,None,None,None,45780000000.0,6240000000.0,39540000000.0,31450000000.0,18490000000.0,14160000000.0,1300000000.0,12860000000.0,33869999999.999996,18.11,55.7,-30.28,-43.14,-20.66,17.89,47.23,47.13,8.21,0.15,5.28,0.36,0.03,49.30,None,17.21,19.99,21.19,12.04,19.75,26850000.0,21.95,10.28,3550000.0,Forward,Dec 29 2025,2900000000.0,31.56,7.15,None,None,186.04,-11.08,88.92,86.04,0.94,7,2.33,6.33,0.8844473569244211,-0.42388244010866877,8.989874042973574,8.989874042973574,2.839667977282656,2026-02-11,2026-02-11T18:03:30.358819
ACME.N0000,None,15090000.0,None,None,1.68,None,None,None,None,-9.09,None,None,None,52.57,2.20,1050000000.0,None,None,2.05,None,-36.31,None,None,2370000000.0,0.90,27.45,-6.25,-361.43,-0.63,None,None,-1.53,None,None,None,-0.28,None,44.97,4.66,16.34,6.81,47.63,53.56,2.26,10.24,-32.68,61.65,56.02,6.64,7.40,7.45,50over200,ACME Printing and Packaging PLC,Colombo Stock Exchange,6,Sep 30 2025,None,Converted Paper And Paperboard Products Except Containers And Boxes,Sri Lanka,3.41,March,acmelk.com,None,182,1949,True,Feb 11 2026,Feb 11 2026,Feb 11 2026,182.05,-78.85,5316.05,-71.28,Mar 16 2005,Jul 17 1996,52.00,0.20,15.79,111.54,54.93,-54.17,83.33,71.88,86.44,-51.65,59.42,57.14,129.17,15.79,797.80,557.54,263.33,678.09,629.46,1321.09,421.74,576.60,872.61,1097.78,874.13,28.18,87.32,8.98,70.04,8.61,None,None,None,None,None,0,None,None,None,None,1.25,None,None,None,95000000.0,0.15,11840000.0,10.90,None,None,1160000000.0,11.31,None,-3.65,-1.97,-22.79,None,-379420000.0,None,None,None,None,None,None,-3.99,None,None,None,None,None,None,71830000.0,-23.23,None,None,55.77,-5.38,None,None,55.77,-5.38,None,-208550000.0,89.36,-208550000.0,None,-134890000.0,6.21,-32.80,-18.03,-18.03,None,-35.68,-11.66,38070000.0,105430000.0,-6570000.0,None,None,None,-50330000.0,-44640000.0,-0.07,None,None,None,117690000.0,-6570000.0,None,None,None,,None,None,None,1610000000.0,2290000000.0,-683920000.0,-1240000000.0,-159840000.0,27610000.0,1360000000.0,-1330000000.0,-690690000.0,-28.81,,12.53,-19.43,5.92,-127.1,-7.2,-7.27,0.3,,0.15,-206.48,None,-1.04,None,None,125.10,None,-7.56,None,6360000.0,-12.82,-1.35,-2080000.0,None,None,-33400000.0,None,-2.89,None,None,None,None,None,None,0.67,4,3.88,-2.40,0.7204968944099379,-3.8482758620689657,-0.5663793103448276,-0.5663793103448276,84.472049689441,2026-02-11,2026-02-11T18:03:30.358819
AEL.N0000,None,15280000.0,None,None,1.39,None,None,None,None,-2.19,None,None,None,32.31,0.46,71400000000.0,11.10,None,2.77,11.33,9.00,1.94,8.64,110090000000.0,1.80,None,17.13,-11.61,-13.28,5.43,15.22,1.84,None,10.11,6.69,-8.61,6.42,39.17,1.58,73.10,58.50,10.41,62.71,2.21,73.56,-2.33,22.05,85.17,4.84,-2.94,64.67,50over200,Access Engineering PLC,Colombo Stock Exchange,149,Sep 30 2025,None,Engineering Services,Sri Lanka,7.70,March,accessengsl.com,None,2083,2001,True,Feb 11 2026,Feb 11 2026,Feb 11 2026,105.17,-9.62,760.24,-9.62,Jan 5 2026,Jul 8 2022,79.00,8.30,-0.70,21.02,495.00,None,-5.68,-2.59,178.91,None,15.72,224.55,72.46,-0.70,22.71,586.34,None,-5.68,-2.59,253.11,None,17.34,79.55,403.01,79.62,17.53,90.01,None,28.71,None,2.80,None,31.95,Semi-Annual,Dec 23 2025,2.00,None,7.18,0.10,Jan 13 2026,1.00,58.74,31.12,2.88,1000000000.0,-0.51,224040000.0,63.40,-0.10,4.90,39750000000.0,5.64,None,36.61,12.59,61.58,None,6430000000.0,11.01,None,61.05,51.89,21.11,None,6.43,10.97,None,61.21,51.80,21.54,None,12670000000.0,35.61,36.45,38.56,37.80,29.47,36.45,38.56,37.80,29.47,22.26,9600000000.0,26.53,9600000000.0,33.75,10670000000.0,31.86,16.17,24.14,24.14,None,20.42,26.84,-6070000000.0,-850300000.0,-9480000000.0,None,None,None,-5560000000.0,-3410000000.0,-9.48,None,None,None,10790000000.0,-9480000000.0,None,None,None,,None,None,None,122510000000.0,83720000000.0,38790000000.0,4190000000.0000005,18490000000.0,2270000000.0,39550000000.0,-37280000000.0,36720000000.0,15.88,,16.2,73.66,35.16,-52.21,37.37,36.72,1.07,3.67,0.44,-4.17,1.02,4.71,None,16.75,14.63,8.73,5.33,14.04,19080000.0,10.71,3.60,3090000.0,None,None,1540000000.0,19.01,3.88,None,None,160.78,2.99,73.54,125.18,0.35,4,0.97,1.23,0.32446330911762306,-8.578616352201259,-23.849056603773587,-23.849056603773587,32.28307893233205,2026-02-11,2026-02-11T18:03:30.358819
AFS.N0000,None,4750000.0,None,None,3.95,None,None,None,None,-5.82,None,None,None,26.54,1.96,1600000000.0,31.67,None,3.51,19.03,3.17,7.33,None,1670000000.0,3.36,None,32.97,None,None,9.84,None,7.33,None,18.06,17.29,None,None,67.92,2.91,34.21,22.31,65.93,74.66,2.51,29.18,25.69,92.71,87.69,5.90,47.37,25.91,50over200,Alpha Fire Services PLC,Colombo Stock Exchange,6,Sep 30 2025,None,Electrical Work,Sri Lanka,11.11,March,alphafire.lk,None,60,1989,True,Feb 11 2026,Feb 11 2026,None,476.71,-11.70,1737.61,-13.55,Feb 2 2026,Mar 1 2023,48.70,2.34,-9.09,82.98,None,None,55.24,62.26,None,None,59.85,None,372.53,-9.09,82.98,None,None,55.24,62.26,None,None,59.85,372.53,None,373.03,None,None,None,None,None,0.70,None,None,None,None,0.30,1,None,-0.95,Oct 16 2024,0.15,None,None,-0.25,37950000.0,None,1190000.0,26.13,0.95,None,475700000.0,15.57,None,35.93,None,19.12,None,50620000.0,113.36,None,64.19,None,36.77,None,1.33,60.46,None,62.64,None,36.77,None,202050000.0,47.97,66.59,None,30.57,None,66.59,None,30.57,None,33.70,87720000.0,20.67,87720000.0,84.44,92410000.0,42.47,10.64,18.44,18.44,None,16.13,19.43,,,,None,None,None,,,None,None,None,None,,,None,None,None,,None,None,None,338770000.0,120890000.0,217890000.0,125470000.0,190660000.0,20050000.0,91580000.0,-71530000.0,217890000.0,-13.71,,4.71,-18.95,,-4.48,5.74,5.74,2.21,0.99,0.62,None,0.42,10.27,None,26.36,37.36,13.18,15.75,17.09,7930000.0,20.01,6.87,843690.0,Forward,Jan 26 2024,26090000.0,34.01,5.49,None,None,33.23,-68.87,13.10,-21.07,1.37,5,1.89,5.62,1.404197538152729,,,,27.03309029725182,2026-02-11,2026-02-11T18:03:30.358819
