Symbol,Stock Price
COSE:ACL.N0000,99
COSE:ATL.N0000,24.2
COSE:YORK.N0000,16.1
COSE:WIND.N0000,48.1
COSE:WATA.N0000,46
COSE:WAPO.N0000,120
COSE:VPEL.N0000,16.9
COSE:VONE.N0000,107.5
COSE:VLL.X0000,18.2
COSE:VLL.N0000,22.2
COSE:VFIN.N0000,105
COSE:UML.N0000,37.9
COSE:UDPL.N0000,159.25
COSE:UCAR.N0000,1766
COSE:UBF.N0000,3.1
COSE:UBC.N0000,14.5
COSE:UAL.N0000,80
COSE:TYRE.N0000,88.1
COSE:TSML.N0000,46
COSE:TRAN.N0000,57
COSE:TPL.N0000,144.5
COSE:TKYO.X0000,86.7
COSE:TKYO.N0000,104.5
COSE:TJL.N0000,37.5
COSE:TILE.N0000,50.3
COSE:TESS.X0000,1.4
COSE:TESS.N0000,2.1
COSE:TAP.N0000,39.6
COSE:TANG.N0000,126.75
COSE:TAJ.N0000,37.8
COSE:TAFL.N0000,652.75
COSE:SWAD.N0000,15000
COSE:SUN.N0000,33.2
COSE:STAF.N0000,55.2
COSE:SPEN.N0000,162
COSE:SOY.N0000,2510.25
COSE:SMOT.N0000,1643.25
COSE:SLTL.N0000,98.3
COSE:SLND.N0000,1987.5
COSE:SIRA.N0000,36.4
COSE:SINS.N0000,87.7
COSE:SINH.N0000,22
COSE:SING.N0000,50.9
COSE:SIL.N0000,510.5
COSE:SIGV.N0000,14
COSE:SHOT.X0000,16.5
COSE:SHOT.N0000,21.9
COSE:SHL.N0000,7.3
COSE:SHAW.N0000,242
COSE:SFIN.N0000,56.3
COSE:SFCL.N0000,832
COSE:SEYB.X0000,75.9
COSE:SEYB.N0000,111.5
COSE:SERV.N0000,19
COSE:SEMB.X0000,0.3
COSE:SEMB.N0000,1
COSE:SDF.N0000,41.4
COSE:SDB.N0000,65.9
COSE:SCAP.N0000,7.6
COSE:SAMP.N0000,155.75
COSE:RWSL.N0000,22.3
COSE:RPBH.N0000,59.1
COSE:RIL.N0000,34.1
COSE:RICH.N0000,36.9
COSE:RHTL.N0000,28.6
COSE:RHL.X0000,41
COSE:RHL.N0000,55
COSE:RGEM.N0000,206.5
COSE:RFL.N0000,36.5
COSE:REXP.N0000,412.5
COSE:RENU.N0000,932
COSE:REEF.N0000,4.2
COSE:RCL.N0000,50.1
COSE:RCH.N0000,250
COSE:RAL.N0000,15
COSE:PMB.N0000,13.6
COSE:PLR.N0000,46.7
COSE:PLC.N0000,26.1
COSE:PKME.N0000,159.75
COSE:PINS.N0000,31
COSE:PHAR.N0000,159.75
COSE:PEG.N0000,43
COSE:PARQ.N0000,82.1
COSE:PARA.N0000,655.5
COSE:PAP.N0000,22.5
COSE:PALM.N0000,70.1
COSE:PACK.N0000,14.1
COSE:PABC.N0000,62.1
COSE:OSEA.N0000,45.8
COSE:ONAL.N0000,43.6
COSE:OFEQ.N0000,831.75
COSE:ODEL.N0000,12.7
COSE:NTB.X0000,444.75
COSE:NTB.N0000,337.75
COSE:NHL.N0000,13.5
COSE:NEH.N0000,6231
COSE:NDB.N0000,151
COSE:NAMU.N0000,895
COSE:MULL.N0000,2.4
COSE:MSL.N0000,369.75
COSE:MRH.N0000,18.2
COSE:MHDL.N0000,10.8
COSE:MGT.N0000,38.2
COSE:MFPE.N0000,13.8
COSE:MERC.N0000,33.3
COSE:MELS.N0000,180
