symbol,price,dollarvolume,high,high52,daysgap,change,open,close,averagevolume,changefromopen,volume,low,low52,relativevolume,beta,marketcap,peratio,pfcfratio,evsales,evebit,earningsyield,ptbvratio,peratio10y,enterprisevalue,psratio,pocfratio,evearnings,evfcf,fcfyield,peratio3y,peforward,pbratio,pegratio,evebitda,priceebitda,fcfevyield,peratio5y,rsi,atr,ma20,ma200,ma150ch,rsiweekly,sharperatio,ma50,ma20ch,ma200ch,rsimonthly,sortinoratio,ma50ch,ma150,ma50vs200,n,exchange,employeeschange,lastreportdate,isin,industry,country,employeeschangepercent,fiscalyearend,website,sector,employees,founded,isprimarylisting,earningsdate,lastearningsdate,nextearningsdate,low52ch,alltimehighchange,alltimelowchange,high52ch,alltimehighdate,alltimelowdate,alltimehigh,alltimelow,ch1w,ch6m,ch3y,ch15y,ch1m,chytd,ch5y,ch20y,ch3m,ch10y,ch1y,tr1w,tr6m,tr3y,tr15y,tr1m,trytd,tr5y,tr20y,tr3m,tr1y,tr10y,cagr1y,cagr10y,cagr3y,cagr15y,cagr5y,cagr20y,dividendyield,dividendgrowth,divcagr5,payoutfrequency,exdivdate,dps,dividendgrowthyears,divcagr10,buybackyield,paymentdate,lastdividend,divcagr3,payoutratio,totalreturn,sharesout,sharesqoq,float,sharesinsiders,sharesyoy,sharesinstitutions,revenue,revenuegrowth3y,revenuegrowthquarters,revenuegrowth,revenuegrowth5y,revenuegrowthq,revenuegrowthyears,netincome,netincomegrowth3y,netincomegrowthquarters,netincomegrowth,netincomegrowth5y,netincomegrowthq,netincomegrowthyears,eps,epsgrowth3y,epsgrowthquarters,epsgrowth,epsgrowth5y,epsgrowthq,epsgrowthyears,grossprofit,grossprofitgrowth3y,operatingincomegrowth,operatingincomegrowth5y,grossprofitgrowth,grossprofitgrowth5y,operatingincomegrowth_view_8,operatingincomegrowth5y_view_8,grossprofitgrowth_view_8,grossprofitgrowth5y_view_8,operatingincomegrowthq,ebit,grossprofitgrowthq,operatingincome,operatingincomegrowth3y,ebitda,grossmargin,profitmargin,ebitmargin,operatingmargin,fcfmargin,pretaxmargin,ebitdamargin,operatingcf,netcf,adjustedfcf,ocfgrowth,fcfgrowthq,ocfgrowth5y,investingcf,capex,fcfpershare,fcfgrowth3y,ocfgrowthq,ocfgrowth10y,financingcf,fcf,fcfgrowth,fcfgrowth5y,ocfgrowth3y,sharebasedcomp,rndbyrevenue,sbcbyrevenue,researchanddevelopment,total_assets,total_liabilities,total_equity,working_capital_view10,net_working_capital,total_cash,total_debt,net_cash,tangible_book_value,debtgrowthqoq,netcashgrowth,debtgrowth3y,debtgrowth,debtgrowth5y,netcashbymarketcap,bvpershare,tangiblebookvaluepershare,currentratio,debtebitda,quickratio,debtfcf,debtequity,interestcoverage,shortratio,roe,roce,roic5y,roa,roe5y,revperemployee,roic,roa5y,profitperemployee,lastsplittype,lastsplitdate,incometax,taxrate,taxbyrevenue,ffo,pffo,lynchfairvalue,grahamupside,grahamnumber,lynchupside,assetturnover,fscore,inventoryturnover,zscore,asset_turnover,capex_intensity,fcf_margin_calc,fcf_margin,debt_to_assets,data_date,last_updated
AAF.N0000,None,5570000.0,None,None,0.34,None,None,None,None,-0.34,None,None,None,101.86,0.39,7200000000.0,19.76,None,None,None,7.50,1.94,8.99,,2.00,None,None,None,-118.35,6.01,None,1.72,None,None,None,None,7.27,65.83,1.95,55.07,48.84,9.16,61.10,2.11,53.62,5.32,18.76,74.07,4.08,8.16,53.14,50over200,Asia Asset Finance PLC,Colombo Stock Exchange,330,Sep 30 2025,None,Commercial Banks,Sri Lanka,45.58,March,asiaassetfinance.com,None,1054,1970,True,Feb 3 2026,Feb 3 2026,Feb 18 2026,132.00,-34.83,1108.33,-10.77,Jan 18 2012,May 12 2020,89.00,4.80,1.75,19.59,607.32,None,5.07,9.43,728.57,None,6.81,286.67,104.23,1.75,19.59,607.32,None,5.07,9.43,728.57,None,6.81,104.23,304.36,104.33,14.99,91.93,None,52.65,None,None,None,None,None,None,0,None,None,-3.46,None,0.70,None,5.37,-3.46,124200000.0,0.17,4950000.0,6.37,3.46,None,3610000000.0,29.39,None,87.26,30.04,98.15,None,540120000.0,32.15,None,4.28,98.89,18.10,None,2.94,27.91,None,0.59,83.85,9.82,None,3610000000.0,None,67.65,78.34,None,None,67.65,78.34,None,None,82.03,,None,930260000.0,40.76,,100.00,14.98,None,25.79,None,26.90,None,-8020000000.0,-885950000.0,-8529999999.999999,None,None,None,814080000.0,-507350000.0,-68.64,None,None,None,6320000000.0,-8529999999.999999,None,None,None,,None,None,None,42790000000.0,38610000000.0,4179999999.9999995,15660000000.0,,1270000000.0,16190000000.000002,-14920000000.0,3720000000.0,-1.82,,21.48,70.03,22.4,-207.16,30.29,29.94,1.7,,1.70,-1.90,3.88,None,None,13.77,None,2.10,1.44,8.04,3420000.0,2.54,1.01,512440.00000000006,Reverse,Feb 7 2019,429960000.0,44.32,11.92,None,None,73.38,-22.88,44.73,26.52,0.10,4,None,None,0.0843655059593363,-14.054016620498617,-236.28808864265926,-236.28808864265926,37.83594297733116,2026-02-15,2026-02-15T16:14:12.828390
AAF.P0000,None,30800.0,None,None,5.56,None,None,None,None,-0.15,None,None,None,55.46,None,7200000000.0,13.34,None,None,None,7.50,1.94,8.99,,2.00,None,None,None,-118.35,6.01,None,1.72,None,None,None,None,7.27,54.76,4.71,65.76,50.77,12.93,62.91,2.07,65.83,-1.46,27.63,84.28,3.64,-1.57,57.38,50over200,Asia Asset Finance PLC,Colombo Stock Exchange,330,Sep 30 2025,None,Commercial Banks,Sri Lanka,45.58,March,asiaassetfinance.com,None,1054,1970,False,Feb 3 2026,Feb 3 2026,Feb 18 2026,161.69,-19.50,64700.00,-15.16,Oct 10 2025,Jul 28 2021,80.50,0.10,-2.56,29.60,517.14,None,-4.57,1.25,None,None,-6.90,None,131.43,-2.56,31.07,574.11,None,-4.57,1.25,None,None,-5.84,138.64,None,138.78,None,88.88,None,None,None,2.16,None,None,None,Dec 16 2025,1.40,1,None,-3.46,Jan 5 2026,0.70,484.80,5.37,-1.30,,0.17,4950000.0,6.37,3.46,None,3610000000.0,29.39,None,87.26,30.04,98.15,None,540120000.0,32.15,None,4.28,98.89,18.10,None,2.94,27.91,None,0.59,83.85,9.82,None,3610000000.0,None,67.65,78.34,None,None,67.65,78.34,None,None,82.03,,None,930260000.0,40.76,,100.00,14.98,None,25.79,None,26.90,None,-8020000000.0,-885950000.0,-8529999999.999999,None,None,None,814080000.0,-507350000.0,None,None,None,None,6320000000.0,-8529999999.999999,None,None,None,,None,None,None,42790000000.0,38610000000.0,4179999999.9999995,15660000000.0,,1270000000.0,16190000000.000002,-14920000000.0,3720000000.0,-1.82,,21.48,70.03,22.4,-207.16,30.29,29.94,1.7,,1.70,-1.90,3.88,None,None,13.77,None,2.10,1.44,8.04,3420000.0,2.54,1.01,512440.00000000006,None,None,429960000.0,44.32,11.92,None,None,121.47,-1.10,64.09,87.45,0.10,4,None,None,0.0843655059593363,-14.054016620498617,-236.28808864265926,-236.28808864265926,37.83594297733116,2026-02-15,2026-02-15T16:14:12.828390
AAIC.N0000,None,24020000.0,None,None,None,None,None,None,None,0.54,None,None,None,69.53,0.82,29680000000.0,8.49,3.71,0.65,3.54,13.35,2.63,6.93,30230000000.0,0.64,3.65,7.63,3.78,26.98,8.01,None,2.55,None,3.33,3.42,26.48,8.05,73.61,3.82,83.09,75.66,20.28,71.74,0.98,77.64,12.90,23.98,62.44,2.00,20.81,77.99,50over200,Softlogic Life Insurance PLC,Colombo Stock Exchange,14,Sep 30 2025,None,Insurance Carriers,Sri Lanka,2.11,December,softlogiclife.lk,None,677,1999,True,Feb 6 2026,Feb 6 2026,Feb 20 2026,46.56,-62.33,24780.64,-2.29,Feb 1 2022,Apr 11 2003,249.00,0.38,9.58,15.80,-29.74,486.25,25.07,20.88,191.30,8427.27,23.58,525.33,23.75,9.58,22.25,-11.58,1047.98,25.07,20.88,307.35,17993.23,23.58,30.64,936.61,30.66,26.34,-4.02,17.67,32.44,29.68,4.80,None,29.20,Annual,Aug 21 2025,4.50,None,32.66,-8.36,Sep 10 2025,4.50,37.00,71.85,-3.56,316410000.0,0.06,23590000.0,4.07,8.36,0.37,46410000000.0,27.13,None,29.97,25.45,21.93,None,3960000000.0,14.38,None,-0.43,28.06,34.86,None,11.05,16.10,None,-8.18,29.27,59.43,None,22100000000.0,None,None,None,None,None,None,None,None,None,None,8539999999.999999,None,8539999999.999999,None,8670000000.0,47.61,8.54,18.40,18.40,17.25,12.02,18.69,8130000000.000001,1230000000.0,8010000000.0,69.84,100.63,0.85,-2190000000.0,-127660000.0,25.30,3.32,98.96,17.37,-4720000000.0,8010000000.0,72.57,0.90,3.54,,None,None,None,69090000000.0,57480000000.0,11620000000.0,11430000000.0,11980000000.0,12680000000.0,3580000000.0,-550870000.0,11300000000.0,2.84,,-15.56,-29.09,79.18,-1.86,36.72,35.7,3.03,0.39,2.92,0.45,0.31,12.66,None,38.01,13.45,20.16,8.95,24.78,68560000.0,39.63,6.16,5850000.0,Forward,Jul 24 2015,1620000000.0,28.96,3.48,None,None,276.20,1.86,95.54,194.45,0.78,5,None,None,0.6717325227963525,-0.27507002801120445,17.259211376858435,17.259211376858435,5.181647126935881,2026-02-15,2026-02-15T16:14:12.828390
ABAN.N0000,None,1570000.0,None,None,-0.43,None,None,None,None,-5.30,None,None,None,165.85,0.75,6190000000.0,10.91,8.09,0.72,6.50,9.17,2.07,6.60,5170000000.0,0.86,6.34,9.12,6.76,12.35,4.33,None,2.07,None,5.72,6.98,14.79,5.19,42.21,57.40,1281.03,913.03,11.56,54.20,1.85,1264.83,-5.52,32.55,72.15,4.00,-4.31,1084.86,50over200,Abans Electricals PLC,Colombo Stock Exchange,130,Sep 30 2025,None,Household Appliances,Sri Lanka,20.06,March,abansgroup.com,None,778,1968,True,Feb 11 2026,Feb 11 2026,Feb 18 2026,245.79,-25.52,62509.93,-25.52,Oct 31 2025,Dec 30 1998,1625.00,1.93,-6.96,102.81,655.23,352.71,-10.43,-2.97,591.57,2078.43,-20.65,952.39,170.60,-6.96,105.86,728.05,554.31,-10.43,-2.97,696.55,4179.67,-20.65,174.67,1305.29,174.86,30.25,102.28,13.34,51.45,20.66,1.24,50.00,37.97,Annual,Sep 26 2025,15.00,2,17.46,-0.01,Oct 16 2025,15.00,44.22,9.01,1.23,5110000.0,-0.01,658440.0,32.02,0.01,None,7150000000.0,8.62,None,0.59,19.77,1.14,None,566910000.0,57.17,None,-6.22,52.76,-19.14,None,110.93,57.15,None,-6.22,52.77,-19.12,None,1800000000.0,37.53,-10.14,55.94,8.08,33.98,-10.14,55.94,8.08,33.98,-15.79,795350000.0,6.09,795350000.0,36.96,885820000.0,25.16,7.93,11.12,11.12,10.68,11.39,12.38,975200000.0,352990000.0,764100000.0,233.75,None,35.25,-215880000.0,-211100000.0,149.51,None,None,16.41,-406330000.0,764100000.0,221.04,48.26,None,,None,None,None,5850000000.0,2860000000.0,2990000000.0,1820000000.0,759520000.0,1310000000.0,297600000.0,1020000000.0,2990000000.0,118.3,194.51,-37.89,-56.8,-10.13,16.45,584.29,584.29,1.71,0.33,1.15,0.39,0.10,24.24,None,20.66,24.24,12.63,9.01,13.11,9190000.0,30.15,5.56,728680.0,Forward,Sep 25 2013,247870000.0,30.42,3.47,None,None,2773.20,-0.22,1207.61,129.14,1.30,6,3.83,3.09,1.2222222222222223,-2.9524475524475524,10.686713286713287,10.686713286713287,5.087179487179487,2026-02-15,2026-02-15T16:14:12.828390
ABL.N0000,None,1950000.0,None,None,0.34,None,None,None,None,-1.01,None,None,None,21.93,0.14,16260000000.000002,7.18,None,None,None,13.92,0.67,19.48,,1.65,None,None,None,-191.27,7.82,None,0.66,None,None,None,None,9.86,43.13,0.60,29.85,26.60,5.70,55.10,0.80,29.70,-1.16,10.91,61.08,1.75,-0.67,27.91,50over200,Amãna Bank PLC,Colombo Stock Exchange,39,Sep 30 2025,None,Commercial Banks,Sri Lanka,4.35,December,amanabank.lk,None,935,2009,True,Feb 25 2026,Nov 10 2025,Feb 25 2026,35.95,-51.79,101.34,-11.14,Jan 29 2014,May 12 2020,61.19,14.65,-1.34,18.95,6.05,None,-4.22,-1.67,-8.58,None,3.87,-23.94,18.95,-1.34,24.70,19.76,None,-4.22,-1.67,3.24,None,3.87,24.70,-9.51,24.72,-0.99,6.19,None,0.64,None,4.41,8.33,1.61,None,Sep 30 2025,1.30,4,None,-68.57,Oct 21 2025,1.30,2.70,26.09,-64.17,551130000.0,0.22,79800000.0,15.37,68.57,None,9870000000.0,28.93,None,24.73,22.38,48.57,None,2260000000.0,31.63,None,40.13,51.85,98.34,None,4.11,5.79,None,-16.88,34.87,96.92,None,9870000000.0,None,None,None,None,None,None,None,None,None,None,,None,3620000000.0,None,,None,22.92,None,36.62,None,35.96,None,-30950000000.0,-1320000000.0,-31100000000.0,None,None,None,6880000000.0,-149040000.0,-56.42,None,None,None,22750000000.0,-31100000000.0,None,None,None,,None,None,None,202580000000.0,177870000000.0,24710000000.0,-121340000000.0,,43490000000.0,2570000000.0,40910000000.0,24220000000.0,69.22,-22.26,-45.86,8493.97,111.6,251.66,44.84,43.95,,,None,-0.08,None,None,None,9.52,None,None,1.21,6.28,10560000.0,None,0.76,2420000.0,Reverse,Jul 8 2024,1290000000.0,36.27,13.04,None,None,102.77,118.31,64.40,248.37,None,2,None,None,0.048721492743607465,-1.510030395136778,-315.09625126646404,-315.09625126646404,1.2686346134860302,2026-02-15,2026-02-15T16:14:12.828390
ACAP.N0000,None,909760.0,None,None,3.03,None,None,None,None,2.94,None,None,None,151.20,0.37,919310000.0,1.62,0.93,65.72,8.22,55.33,None,None,6650000000.0,9.09,0.82,13.06,6.72,107.52,None,None,-0.90,None,8.30,1.18,14.87,None,60.32,0.35,6.38,4.95,32.25,60.08,1.15,6.38,9.80,41.50,71.04,2.50,9.68,5.29,50over200,Asia Capital PLC,Colombo Stock Exchange,-26,Sep 30 2025,None,Hotels Rooming Houses Camps and Other Lodging Places,Sri Lanka,-14.44,March,asiacapital.lk,None,154,1991,True,Feb 12 2026,Feb 12 2026,Feb 19 2026,94.44,-94.17,153.07,-27.08,Jul 12 2011,Jun 11 2001,120.00,2.77,2.94,79.49,75.00,-88.75,14.75,16.67,1.45,-41.67,45.83,-5.41,75.00,2.94,79.49,75.00,-87.69,14.75,16.67,1.45,-36.18,45.83,75.00,-5.41,75.07,-0.55,20.50,-13.03,0.29,-2.22,None,None,None,None,None,0,None,None,-0.22,None,6.95,None,None,-0.22,131330000.00000001,28.25,7990000.0,85.49,0.22,None,101120000.0,-41.06,None,39.58,-17.82,None,None,508700000.0,None,None,None,None,None,None,3.87,None,None,None,None,None,None,54890000.0,-36.78,None,None,100.33,-18.88,None,None,100.33,-18.88,None,791390000.0,None,791390000.0,None,780820000.0,54.28,503.05,782.61,782.61,977.51,666.73,772.15,1120000000.0,842980000.0,988480000.0,None,1314.07,None,-207830000.0,-129280000.0,7.53,None,1314.07,None,-66959999.99999999,988480000.0,None,None,None,,None,None,None,4810000000.0,5830000000.0,-1020000000.0,-3040000000.0,325180000.0,48680000.0,5270000000.0,-5220000000.0,-1790000000.0,1.99,,5.19,11.99,13.65,-567.92,-11.65,-13.6,0.23,6.72,0.23,5.33,None,3.65,None,None,95.61,-4.71,10.54,None,656640.0,14.94,-2.32,3300000.0,Forward,Sep 16 1996,115230000.0,17.09,113.95,None,None,None,None,None,None,0.02,7,4.30,-1.64,0.021022869022869022,-127.84810126582278,977.5316455696203,977.5316455696203,109.56340956340955,2026-02-15,2026-02-15T16:14:12.828390
ACL.N0000,None,49990000.0,None,None,None,None,None,None,None,-0.50,None,None,None,34.44,0.18,71150000000.0,13.30,19.55,1.58,7.67,7.52,2.10,6.09,63890000000.0,1.76,18.67,11.94,17.55,5.12,5.94,10.88,1.80,None,7.35,8.23,5.70,5.55,50.65,1.91,101.92,66.60,34.03,78.98,3.02,93.06,-2.86,48.65,86.58,6.43,6.38,73.86,50over200,ACL Cables PLC,Colombo Stock Exchange,72,Sep 30 2025,None,Drawing and Insulating of Nonferrous Wire,Sri Lanka,5.01,March,acl.lk,None,1508,1962,True,Feb 12 2026,Feb 12 2026,Feb 19 2026,158.26,-8.12,45839.68,-8.12,Jan 22 2026,Aug 29 2001,107.75,0.22,-1.25,66.86,304.64,1250.06,-2.94,10.25,556.37,4652.76,32.30,966.47,128.03,-1.25,68.12,321.02,1746.51,-2.94,10.25,610.02,6948.85,32.30,129.76,1254.70,129.89,29.77,61.46,21.46,48.01,23.71,0.51,20.00,8.45,Annual,Sep 26 2025,0.50,1,7.18,-0.02,Oct 16 2025,0.50,6.27,None,0.49,718720000.0,0.13,221550000.0,64.98,0.02,15.45,40490000000.0,3.59,None,19.64,17.12,19.92,None,5350000000.0,-11.20,None,38.85,40.81,38.75,None,7.44,-11.20,None,38.83,40.83,38.78,None,11200000000.0,-2.28,38.14,36.35,29.68,27.30,38.14,36.35,29.68,27.30,18.82,8279999999.999999,15.42,8279999999.999999,-4.90,8640000000.0,27.66,13.21,20.44,20.44,8.99,22.66,21.34,3810000000.0,1310000000.0,3640000000.0,111.01,-94.54,31.25,-1480000000.0,-171630000.0,5.07,-16.99,-88.68,8.18,-1020000000.0,3640000000.0,160.48,34.59,-17.42,,None,None,None,45780000000.0,6240000000.0,39540000000.0,31450000000.0,18490000000.0,14160000000.0,1300000000.0,12860000000.0,33869999999.999996,18.11,55.7,-30.28,-43.14,-20.66,18.07,47.23,47.13,8.21,0.15,5.28,0.36,0.03,49.30,None,17.21,19.99,21.19,12.04,19.75,26850000.0,21.95,10.28,3550000.0,Forward,Dec 29 2025,2900000000.0,31.56,7.15,None,None,186.04,-10.18,88.92,87.92,0.94,7,2.33,6.33,0.8844473569244211,-0.42388244010866877,8.989874042973574,8.989874042973574,2.839667977282656,2026-02-15,2026-02-15T16:14:12.828390
ACME.N0000,None,29370000.0,None,None,1.01,None,None,None,None,10.00,None,None,None,98.00,2.20,1050000000.0,None,None,2.05,None,-36.31,None,None,2370000000.0,0.90,27.45,-6.25,-361.43,-0.63,None,None,-1.53,None,None,None,-0.28,None,46.02,4.26,16.56,6.87,46.16,54.70,2.26,10.41,-33.55,60.23,56.97,6.61,5.63,7.53,50over200,ACME Printing and Packaging PLC,Colombo Stock Exchange,6,Sep 30 2025,None,Converted Paper And Paperboard Products Except Containers And Boxes,Sri Lanka,3.41,March,acmelk.com,None,182,1949,True,Feb 11 2026,Feb 11 2026,Feb 18 2026,182.05,-78.85,5316.05,-71.28,Mar 16 2005,Jul 17 1996,52.00,0.20,-22.54,107.55,54.93,-53.97,80.33,71.88,77.42,-51.65,61.77,61.77,144.44,-22.54,780.86,557.54,264.85,665.33,629.46,1252.33,421.74,586.55,937.45,1133.00,939.12,28.55,87.32,9.01,68.36,8.61,None,None,None,None,None,0,None,None,None,None,1.25,None,None,None,95000000.0,0.15,11840000.0,10.90,None,None,1160000000.0,11.31,None,-3.65,-1.97,-22.79,None,-379420000.0,None,None,None,None,None,None,-3.99,None,None,None,None,None,None,71830000.0,-23.23,None,None,55.77,-5.38,None,None,55.77,-5.38,None,-208550000.0,89.36,-208550000.0,None,-134890000.0,6.21,-32.80,-18.03,-18.03,None,-35.68,-11.66,38070000.0,105430000.0,-6570000.0,None,None,None,-50330000.0,-44640000.0,-0.07,None,None,None,117690000.0,-6570000.0,None,None,None,,None,None,None,1610000000.0,2290000000.0,-683920000.0,-1240000000.0,-159840000.0,27610000.0,1360000000.0,-1330000000.0,-690690000.0,-28.81,,12.53,-19.43,5.92,-127.1,-7.2,-7.27,0.3,,0.15,-206.48,None,-1.04,None,None,125.10,None,-7.56,None,6360000.0,-12.82,-1.35,-2080000.0,None,None,-33400000.0,None,-2.89,None,None,None,None,None,None,0.67,4,3.88,-2.40,0.7204968944099379,-3.8482758620689657,-0.5663793103448276,-0.5663793103448276,84.472049689441,2026-02-15,2026-02-15T16:14:12.828390
AEL.N0000,None,67210000.0,None,None,0.57,None,None,None,None,2.84,None,None,None,134.50,0.46,72500000000.0,11.27,None,2.80,11.44,8.87,1.97,8.64,111190000000.0,1.82,None,17.30,-11.73,-13.08,5.43,15.46,1.87,None,10.21,6.80,-8.53,6.42,49.90,1.68,72.54,58.99,11.24,64.68,2.13,73.59,-0.06,22.90,85.93,4.64,-1.48,65.17,50over200,Access Engineering PLC,Colombo Stock Exchange,149,Sep 30 2025,None,Engineering Services,Sri Lanka,7.70,March,accessengsl.com,None,2083,2001,True,Feb 11 2026,Feb 11 2026,Feb 18 2026,108.33,-8.23,773.49,-8.23,Jan 5 2026,Jul 8 2022,79.00,8.30,1.26,22.05,519.66,None,-4.10,-1.09,173.59,None,8.53,238.79,83.54,1.26,23.76,614.78,None,-4.10,-1.09,246.37,None,10.05,91.08,425.08,91.17,18.04,92.60,None,28.21,None,2.76,None,31.95,Semi-Annual,Dec 23 2025,2.00,None,7.18,0.10,Jan 13 2026,1.00,58.74,31.12,2.86,1000000000.0,-0.51,224040000.0,63.40,-0.10,4.90,39750000000.0,5.64,None,36.61,12.59,61.58,None,6430000000.0,11.01,None,61.05,51.89,21.11,None,6.43,10.97,None,61.21,51.80,21.54,None,12670000000.0,35.61,36.45,38.56,37.80,29.47,36.45,38.56,37.80,29.47,22.26,9600000000.0,26.53,9600000000.0,33.75,10670000000.0,31.86,16.17,24.14,24.14,None,20.42,26.84,-6070000000.0,-850300000.0,-9480000000.0,None,None,None,-5560000000.0,-3410000000.0,-9.48,None,None,None,10790000000.0,-9480000000.0,None,None,None,,None,None,None,122510000000.0,83720000000.0,38790000000.0,4190000000.0000005,18490000000.0,2270000000.0,39550000000.0,-37280000000.0,36720000000.0,15.88,,16.2,73.66,35.16,-51.42,37.37,36.72,1.07,3.67,0.44,-4.17,1.02,4.71,None,16.75,14.63,8.73,5.33,14.04,19080000.0,10.71,3.60,3090000.0,None,None,1540000000.0,19.01,3.88,None,None,160.78,1.43,73.54,121.76,0.35,4,0.97,1.23,0.32446330911762306,-8.578616352201259,-23.849056603773587,-23.849056603773587,32.28307893233205,2026-02-15,2026-02-15T16:14:12.828390
AFS.N0000,None,9730000.0,None,None,3.76,None,None,None,None,-0.90,None,None,None,53.52,1.96,1660000000.0,32.95,None,3.64,19.76,3.05,7.63,None,1730000000.0,3.49,None,34.25,None,None,9.84,None,7.63,None,18.76,17.99,None,None,65.35,3.06,37.19,23.01,64.34,76.55,2.50,30.52,17.77,90.37,87.96,5.84,43.49,26.65,50over200,Alpha Fire Services PLC,Colombo Stock Exchange,6,Sep 30 2025,None,Electrical Work,Sri Lanka,11.11,March,alphafire.lk,None,60,1989,True,Feb 11 2026,Feb 11 2026,Feb 18 2026,500.00,-10.06,1771.79,-10.06,Feb 2 2026,Mar 1 2023,48.70,2.34,-3.31,91.27,None,None,59.27,65.28,None,None,58.12,None,392.14,-3.31,91.27,None,None,59.27,65.28,None,None,58.12,392.14,None,392.67,None,None,None,None,None,0.68,None,None,None,None,0.30,1,None,-0.95,Oct 16 2024,0.15,None,None,-0.27,37950000.0,None,1190000.0,26.13,0.95,None,475700000.0,15.57,None,35.93,None,19.12,None,50620000.0,113.36,None,64.19,None,36.77,None,1.33,60.46,None,62.64,None,36.77,None,202050000.0,47.97,66.59,None,30.57,None,66.59,None,30.57,None,33.70,87720000.0,20.67,87720000.0,84.44,92410000.0,42.47,10.64,18.44,18.44,None,16.13,19.43,,,,None,None,None,,,None,None,None,None,,,None,None,None,,None,None,None,338770000.0,120890000.0,217890000.0,125470000.0,190660000.0,20050000.0,91580000.0,-71530000.0,217890000.0,-13.71,,4.71,-18.95,,-4.3,5.74,5.74,2.21,0.99,0.62,None,0.42,10.27,None,26.36,37.36,13.18,15.75,17.09,7930000.0,20.01,6.87,843690.0,Forward,Jan 26 2024,26090000.0,34.01,5.49,None,None,33.23,-70.08,13.10,-24.13,1.37,5,1.89,5.62,1.404197538152729,,,,27.03309029725182,2026-02-15,2026-02-15T16:14:12.828390
