date,location_id,location_name,temperature_2m_mean,temperature_2m_max,temperature_2m_min,rain_sum,precipitation_sum,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,tea_favorability,tourism_score,extreme_rain,wind_storm,drought_risk
2020-01-01,0.0,Colombo_Western,25.54,29.1,1.1,7.1,2.2,85.98,11.0,26.3,49.248000000000005,50,64,0,0,0
2020-01-01,1.0,Central_Highlands,15.376,19.5,1.4,4.4,2.8,84.96,10.5,33.5,74.348,50,50,0,0,0
2020-01-01,2.0,Eastern_Coast,25.408,30.0,3.4,23.4,6.800000000000001,84.25200000000001,13.7,30.6,61.784,50,0,0,0,0
2020-01-01,3.0,Central_Province,23.284000000000002,27.8,0.0,0.0,0.0,78.732,20.9,50.4,55.56,50,50,0,0,0
2020-01-01,4.0,Location_4,25.7,30.2,1.0,8.0,2.0,81.388,17.7,39.2,42.06399999999999,50,50,0,0,0
2020-01-01,5.0,Location_5,25.4,31.0,0.7,6.7,1.4,82.85600000000001,13.3,31.7,59.812,50,50,0,0,0
2020-01-01,6.0,Location_6,25.428,29.0,2.9,20.9,5.8,84.85600000000001,14.4,38.9,60.144,50,50,0,0,0
2020-01-01,7.0,Location_7,24.936,30.0,1.3,9.3,2.6,85.036,14.1,33.1,60.763999999999996,50,50,0,0,0
2020-01-01,8.0,Location_8,25.656,29.6,1.6,10.6,3.2,82.38799999999999,24.5,51.5,50.416000000000004,50,50,0,0,0
2020-01-01,9.0,Northern,25.128,28.1,0.7,7.7,1.4,86.444,12.6,30.2,87.176,50,61,0,0,0
2020-01-01,10.0,Location_10,25.648000000000003,28.9,1.3,9.3,2.6,82.18799999999999,20.8,38.5,75.868,50,50,0,0,0
2020-01-01,11.0,Location_11,24.744,30.9,2.5,7.5,5.0,82.90799999999999,9.9,27.0,60.628,50,50,0,0,0
2020-01-02,0.0,Colombo_Western,25.631999999999998,30.1,1.6,10.6,3.2,84.904,10.2,26.6,33.391999999999996,50,47,0,0,0
2020-01-02,1.0,Central_Highlands,15.607999999999999,19.7,1.8,7.8,3.6,90.208,15.1,43.2,76.712,50,50,0,0,0
2020-01-02,2.0,Eastern_Coast,25.46,29.2,5.6,28.6,11.2,86.69200000000001,12.2,35.3,65.0,50,0,0,0,0
2020-01-02,3.0,Central_Province,23.344,27.5,0.5,4.5,1.0,80.05199999999999,22.2,53.6,31.092,50,50,0,0,0
2020-01-02,4.0,Location_4,25.535999999999998,29.9,4.2,12.2,8.4,83.936,14.6,39.2,34.168,50,50,0,0,0
2020-01-02,5.0,Location_5,25.215999999999998,29.7,4.8,25.8,9.6,86.684,12.2,35.3,58.06399999999999,50,50,0,0,0
2020-01-02,6.0,Location_6,25.828000000000003,28.4,6.6,26.6,13.2,83.944,14.6,40.0,49.488,50,50,0,0,0
2020-01-02,7.0,Location_7,25.076,28.9,1.7,7.7,3.4,84.84,15.9,36.4,40.504,50,50,0,0,0
2020-01-02,8.0,Location_8,25.736,28.9,10.5,29.5,21.0,85.176,21.6,49.7,72.036,50,50,0,0,0
2020-01-02,9.0,Northern,25.732,28.8,1.8,15.8,3.6,82.74799999999999,18.8,36.0,46.836000000000006,50,21,0,0,0
2020-01-02,10.0,Location_10,26.195999999999998,29.5,0.9,4.9,1.8,80.132,19.1,36.0,37.768,50,50,0,0,0
2020-01-02,11.0,Location_11,25.12,31.3,1.3,7.3,2.6,81.084,10.6,33.8,29.4,50,50,0,0,0
2020-01-03,0.0,Colombo_Western,25.631999999999998,29.1,0.8,6.8,1.6,85.264,12.6,27.7,42.952,50,66,0,0,0
2020-01-03,1.0,Central_Highlands,15.716,20.3,0.0,0.0,0.0,84.376,14.1,40.3,54.843999999999994,50,50,0,0,0
2020-01-03,2.0,Eastern_Coast,25.58,29.7,2.7,16.7,5.4,83.82,14.8,32.8,27.976,50,16,0,0,0
2020-01-03,3.0,Central_Province,23.72,28.3,0.0,0.0,0.0,77.188,21.7,52.2,24.816,50,50,0,0,0
2020-01-03,4.0,Location_4,25.968000000000004,30.2,1.0,9.0,2.0,80.16,19.8,46.4,30.544,50,50,0,0,0
2020-01-03,5.0,Location_5,25.412,30.0,1.3,10.3,2.6,83.056,14.2,32.0,35.64,50,50,0,0,0
2020-01-03,6.0,Location_6,26.164,28.7,4.4,14.4,8.8,81.444,18.1,43.9,34.424,50,50,0,0,0
2020-01-03,7.0,Location_7,25.228,29.6,0.6,6.6,1.2,82.212,17.8,35.6,39.668,50,50,0,0,0
2020-01-03,8.0,Location_8,25.7,29.6,1.1,10.1,2.2,81.868,22.8,49.0,33.064,50,50,0,0,0
2020-01-03,9.0,Northern,25.864,29.5,0.6,4.6,1.2,83.236,16.7,32.8,32.928000000000004,50,77,0,0,0
2020-01-03,10.0,Location_10,26.291999999999998,29.5,2.1,9.1,4.2,79.572,21.3,36.4,44.048,50,50,0,0,0
2020-01-03,11.0,Location_11,25.544,31.6,0.8,8.8,1.6,78.384,6.9,19.4,35.488,50,50,0,0,0
2020-01-04,0.0,Colombo_Western,25.676,28.9,2.3,14.3,4.6,85.104,10.8,29.9,28.491999999999997,50,28,0,0,0
2020-01-04,1.0,Central_Highlands,14.96,21.0,0.0,0.0,0.0,82.104,7.3,24.8,38.52,50,50,0,0,0
2020-01-04,2.0,Eastern_Coast,25.191999999999997,29.9,0.7,7.7,1.4,83.40799999999999,11.8,28.1,20.38,50,61,0,0,0
2020-01-04,3.0,Central_Province,23.44,28.6,0.7,3.7,1.4,78.096,18.0,43.2,15.475999999999999,50,50,0,0,0
2020-01-04,4.0,Location_4,25.324,30.0,2.5,11.5,5.0,83.25200000000001,9.4,23.8,29.144000000000002,50,50,0,0,0
2020-01-04,5.0,Location_5,25.408,30.6,1.6,9.6,3.2,82.256,11.7,24.1,30.084,50,50,0,0,0
2020-01-04,6.0,Location_6,25.86,29.1,1.6,11.6,3.2,81.35600000000001,13.4,36.4,21.04,50,50,0,0,0
