rank,symbol,composite_score,quality_tier,recommendation,sector,interpretation,d1_profitability,d2_financial,d3_valuation,d4_growth,d5_management,d6_moat,d7_sentiment,profitability_contribution,financial_contribution,valuation_contribution,growth_contribution,management_contribution,moat_contribution,sentiment_contribution,watch_list,watch_list_warning
1,GLAS.N0000,93.68,Exceptional,STRONG BUY - Exceptional quality at fair/attractive valuation,,Exceptional nan compounder - top-tier quality across all dimensions,100.0,100.0,77.2,94.8062,100.0,88.5,80.6,20.0,20.0,11.58,14.22,15.0,8.85,4.03,False,
2,CTC.N0000,92.97,Exceptional,STRONG BUY - Exceptional quality at fair/attractive valuation,,Exceptional nan compounder - top-tier quality across all dimensions,100.0,90.0,79.3,98.05893333333331,100.0,100.0,67.35,20.0,18.0,11.89,14.71,15.0,10.0,3.37,False,
3,MCPL.N0000,92.44,Exceptional,STRONG BUY - Exceptional quality at fair/attractive valuation,,Exceptional nan compounder - top-tier quality across all dimensions,89.7,100.0,80.8,100.0,100.0,100.0,47.65,17.94,20.0,12.12,15.0,15.0,10.0,2.38,False,
4,JINS.N0000,89.69,Exceptional,STRONG BUY - Exceptional quality at fair/attractive valuation,,Exceptional nan compounder - top-tier quality across all dimensions,70.0,94.8,90.5,100.0,100.0,85.0,93.05,14.0,18.96,13.57,15.0,15.0,8.5,4.65,False,
5,ASHO.N0000,89.1,Exceptional,STRONG BUY - Exceptional quality at fair/attractive valuation,,Exceptional nan compounder - top-tier quality across all dimensions,70.0,95.8,87.2,100.0,100.0,83.8,89.7,14.0,19.16,13.08,15.0,15.0,8.38,4.49,False,
6,LFIN.N0000,88.07,Exceptional,STRONG BUY - Exceptional quality at fair/attractive valuation,,Exceptional nan compounder - top-tier quality across all dimensions,65.5,94.8,84.7,100.0,100.0,85.0,96.05,13.1,18.96,12.71,15.0,15.0,8.5,4.8,False,
7,AFSL.N0000,87.95,Exceptional,STRONG BUY - Exceptional quality at fair/attractive valuation,,Exceptional nan compounder - top-tier quality across all dimensions,70.0,91.2,83.3,100.0,100.0,85.0,94.3,14.0,18.24,12.49,15.0,15.0,8.5,4.71,False,
8,CDB.X0000,87.76,Exceptional,STRONG BUY - Exceptional quality at fair/attractive valuation,,Exceptional nan compounder - top-tier quality across all dimensions,70.0,89.5,88.6,100.0,100.0,85.0,81.45,14.0,17.9,13.29,15.0,15.0,8.5,4.07,False,
9,CARS.N0000,87.73,Exceptional,STRONG BUY - Exceptional quality at fair/attractive valuation,,Exceptional nan compounder - top-tier quality across all dimensions,67.1,98.1,87.1,100.0,100.0,82.6,67.35,13.42,19.62,13.06,15.0,15.0,8.26,3.37,False,
10,CFIN.N0000,87.64,Exceptional,STRONG BUY - Exceptional quality at fair/attractive valuation,,Exceptional nan compounder - top-tier quality across all dimensions,70.0,94.8,85.1,100.0,100.0,85.0,68.35,14.0,18.96,12.76,15.0,15.0,8.5,3.42,False,
11,ACL.N0000,87.43,Exceptional,"BUY - Exceptional quality, monitor valuation",,Exceptional nan compounder - top-tier quality across all dimensions,96.9,100.0,50.9,100.0,100.0,57.3,93.75,19.38,20.0,7.63,15.0,15.0,5.73,4.69,False,
