symbol,trade_date,close,trade_volume,share_volume,intraday_volatility,share_volume_5d,share_volume_20d,volume_ratio_5d_20d,trade_density,momentum_5d,momentum_20d,momentum_60d
PALM.N0000,2026-01-05,74.0,1,10,0.0,559.0,559.0,1.0,10.0,0.0,0.0,0.0
NTB.X0000,2026-01-05,385.5,3,3,1.1024643320363166,2.5,2.5,1.0,1.0,0.0,0.0,0.0
CABO.N0000,2026-01-06,197.75,156,127657,15.170670037926676,50757.0,50757.0,1.0,818.3141025641025,0.0,0.0,0.0
SEYB.X0000,2026-01-06,77.7,135,534212,2.9601029601029563,362129.3333333333,362129.3333333333,1.0,3957.125925925926,0.0,0.0,0.0
BUKI.N0000,2026-01-06,1040.0,18,774,0.576923076923077,803.6666666666666,803.6666666666666,1.0,43.0,0.0,0.0,0.0
CALF.N0000,2026-01-06,93.6,5,401,0.3205128205128175,330.3333333333333,330.3333333333333,1.0,80.2,0.0,0.0,0.0
VFIN.N0000,2026-01-06,103.75,151,201535,2.891566265060241,104080.33333333333,104080.33333333333,1.0,1334.6688741721855,0.0,0.0,0.0
CERA.N0000,2026-01-06,172.0,8,190,2.1802325581395348,466.0,466.0,1.0,23.75,0.0,0.0,0.0
AAF.N0000,2026-01-06,56.2,131,139466,3.3807829181494635,97832.66666666667,97832.66666666667,1.0,1064.6259541984732,0.0,0.0,0.0
SFCL.N0000,2026-01-06,1284.5,43,650,1.5570260801868432,447.3333333333333,447.3333333333333,1.0,15.116279069767442,0.0,0.0,0.0
ACME.N0000,2026-01-06,6.1,44,187751,4.918032786885243,274372.3333333333,274372.3333333333,1.0,4267.068181818182,0.0,0.0,0.0
CALC.U0000,2026-01-06,14.2,3,300,1.4084507042253596,1538.6666666666667,1538.6666666666667,1.0,100.0,0.0,0.0,0.0
CDB.X0000,2026-01-06,302.25,23,3574,0.9925558312655087,9432.333333333334,9432.333333333334,1.0,155.3913043478261,0.0,0.0,0.0
SHAW.N0000,2026-01-06,231.0,63,48280,18.073593073593074,26377.0,26377.0,1.0,766.3492063492064,0.0,0.0,0.0
WATA.N0000,2026-01-06,49.0,214,236364,1.42857142857142,238400.66666666666,238400.66666666666,1.0,1104.5046728971963,0.0,0.0,0.0
RWSL.N0000,2026-01-06,25.2,140,238216,5.9523809523809526,204722.33333333334,204722.33333333334,1.0,1701.5428571428572,0.0,0.0,0.0
RPBH.N0000,2026-01-06,63.0,5,453,3.809523809523807,763.3333333333334,763.3333333333334,1.0,90.6,0.0,0.0,0.0
AEL.N0000,2026-01-06,77.3,530,1038199,1.4230271668822696,1078741.0,1078741.0,1.0,1958.866037735849,0.0,0.0,0.0
UML.N0000,2026-01-06,345.25,332,67198,3.7653874004344683,132370.33333333334,132370.33333333334,1.0,202.40361445783134,0.0,0.0,0.0
SFIN.N0000,2026-01-06,59.8,137,232628,7.692307692307695,113789.33333333333,113789.33333333333,1.0,1698.014598540146,0.0,0.0,0.0
SDB.N0000,2026-01-06,65.5,471,1444598,14.045801526717561,566646.0,566646.0,1.0,3067.0870488322716,0.0,0.0,0.0
ACL.N0000,2026-01-06,102.0,1688,2252559,4.6568627450980395,5507783.0,5507783.0,1.0,1334.454383886256,0.0,0.0,0.0
CDB.N0000,2026-01-06,382.25,12,3206,1.3080444735120993,2141.0,2141.0,1.0,267.1666666666667,0.0,0.0,0.0
CARS.N0000,2026-01-06,779.25,12,2655,2.823227462303497,3340.6666666666665,3340.6666666666665,1.0,221.25,0.0,0.0,0.0
ABAN.N0000,2026-01-06,1396.5,41,304,4.887218045112782,6325.666666666667,6325.666666666667,1.0,7.414634146341464,0.0,0.0,0.0
SDF.N0000,2026-01-06,44.0,119,140755,7.954545454545454,50814.333333333336,50814.333333333336,1.0,1182.81512605042,0.0,0.0,0.0
VONE.N0000,2026-01-06,102.0,86,51204,1.2254901960784315,226905.0,226905.0,1.0,595.3953488372093,0.0,0.0,0.0
CARG.N0000,2026-01-06,770.0,19,472,3.9285714285714284,1184.6666666666667,1184.6666666666667,1.0,24.842105263157894,0.0,0.0,0.0
CBNK.N0000,2026-01-06,9.8,169,1281970,3.0612244897959253,738614.6666666666,738614.6666666666,1.0,7585.621301775148,0.0,0.0,0.0
ABL.N0000,2026-01-06,30.5,215,331024,4.590163934426236,285547.0,285547.0,1.0,1539.6465116279069,0.0,0.0,0.0
VPEL.N0000,2026-01-06,15.9,109,152372,6.289308176100629,543120.0,543120.0,1.0,1397.908256880734,0.0,0.0,0.0
SEMB.N0000,2026-01-06,0.7,78,1787363,14.285714285714299,1776461.6666666667,1776461.6666666667,1.0,22914.910256410258,0.0,0.0,0.0
SCAP.N0000,2026-01-06,5.2,57,171124,3.8461538461538494,205600.66666666666,205600.66666666666,1.0,3002.1754385964914,0.0,0.0,0.0
CARE.N0000,2026-01-06,59.5,25,55206,6.722689075630252,77921.66666666667,77921.66666666667,1.0,2208.24,0.0,0.0,0.0
VLL.X0000,2026-01-06,19.9,50,103209,8.040201005025116,43976.0,43976.0,1.0,2064.18,0.0,0.0,0.0
SEMB.X0000,2026-01-06,0.3,28,2604553,33.33333333333335,1493800.3333333333,1493800.3333333333,1.0,93019.75,0.0,0.0,0.0
