symbol,dimension_2_score,quality_label,framework_used,component1_score,component1_contribution,component2_score,component2_contribution,component3_score,component3_contribution,industry_type,sector,industry,equity_assets_ratio,capital_quality,leverage_ratio,roa_5y,asset_quality,current_ratio,debt_equity,debt_quality,debt_ebitda,has_net_cash,quick_ratio,fortress_bonus_applied,interest_coverage
AAF.N0000,75.4,Good,Financial (Basel III),88.25245230685968,35.3,43.209999999999994,15.1,100.0,25.0,financial,,Commercial Banks,9.768637532133676,Adequate,10.236842105263158,1.01,Below Average,1.7,,,,,,,
AAF.P0000,75.4,Good,Financial (Basel III),88.25245230685968,35.3,43.209999999999994,15.1,100.0,25.0,financial,,Commercial Banks,9.768637532133676,Adequate,10.236842105263158,1.01,Below Average,1.7,,,,,,,
AAIC.N0000,94.8,Fortress,Financial (Basel III),100.0,40.0,85.0,29.7,100.0,25.0,financial,,Insurance Carriers,16.818642350557244,Excellent,5.945783132530121,6.16,World-Class,3.03,,,,,,,
ABAN.N0000,94.1,Fortress,Industrial,100.0,40.0,85.0,29.7,97.33333333333333,24.3,asset_heavy,,Household Appliances,51.11111111111111,,,,,1.71,0.1,Fortress,0.33,True,1.15,True,24.24
ABL.N0000,65.7,Adequate,Financial (Basel III),99.70254957507082,39.9,37.959999999999994,13.3,50.0,12.5,financial,,Commercial Banks,12.197650310988251,Excellent,8.19830028328612,0.76,Weak,0.0,,,,,,,
ACAP.N0000,37.6,Weak,Industrial,41.42,16.6,20.0,7.0,56.05,14.0,asset_heavy,,Hotels Rooming Houses Camps and Other Lodging Places,-21.205821205821206,,,,,0.23,0.0,No Data,6.72,False,0.23,False,3.65
ACL.N0000,100.0,Fortress,Industrial,100.0,40.0,100.0,35.0,100.0,25.0,asset_heavy,,Drawing and Insulating of Nonferrous Wire,86.36959370904324,,,,,8.21,0.03,Fortress,0.15,True,5.28,True,49.3
ACME.N0000,46.0,Moderate,Industrial,50.0,20.0,20.0,7.0,76.0,19.0,asset_heavy,,Converted Paper And Paperboard Products Except Containers And Boxes,-42.47950310559006,,,,,0.3,0.0,No Data,0.0,False,0.15,False,-1.04
AEL.N0000,59.5,Moderate,Industrial,64.19999999999999,25.7,42.96,15.0,74.96763284629824,18.7,asset_light,,Engineering Services,31.662721410497102,,,,,1.07,1.02,Moderate,3.67,False,0.44,False,4.71
AFS.N0000,91.6,Fortress,Industrial,95.8,38.3,80.755,28.3,100.0,25.0,asset_heavy,,Electrical Work,64.31797384656257,,,,,2.21,0.42,Strong,0.99,False,0.62,False,10.27
AFSL.N0000,91.2,Fortress,Financial (Basel III),100.0,40.0,74.78,26.2,100.0,25.0,financial,,Finance Lessors,23.889931207004377,Excellent,4.18586387434555,3.04,Excellent,1.48,,,,,,,
AGAL.N0000,92.1,Fortress,Industrial,100.0,40.0,78.4,27.4,98.69222343921139,24.7,asset_heavy,,Food and Kindred Products,55.6407447973713,,,,,1.8,0.18,Fortress,0.61,False,0.75,False,11.73
AGPL.N0000,81.2,Strong,Industrial,95.38,38.2,77.636,27.2,63.68289039767215,15.9,asset_heavy,,Miscellaneous Food Preparations And Kindred Products,43.16197866149369,,,,,1.48,0.27,Fortress,2.02,False,0.98,False,2.59
AGST.N0000,68.3,Adequate,Industrial,72.14999999999999,28.9,86.28999999999999,30.2,37.0,9.2,asset_heavy,,Agricultural Chemicals,64.3987341772152,,,,,2.28,0.41,Strong,18.92,False,0.94,False,0.13
AGST.X0000,68.3,Adequate,Industrial,72.14999999999999,28.9,86.28999999999999,30.2,37.0,9.2,asset_heavy,,Agricultural Chemicals,64.3987341772152,,,,,2.28,0.41,Strong,18.92,False,0.94,False,0.13
AHPL.N0000,63.1,Adequate,Industrial,94.6,37.8,20.0,7.0,73.12,18.3,asset_heavy,,Hotels and Motels,68.4263550272013,,,,,0.3,0.09,Fortress,2.15,False,0.18,False,2.83
AHUN.N0000,50.6,Moderate,Industrial,60.68000000000001,24.3,33.824999999999996,11.8,58.024468895471855,14.5,asset_heavy,,Hotels and Motels,34.807448159119765,,,,,0.65,1.43,Moderate,3.3,False,0.59,False,2.51
AINS.N0000,81.0,Strong,Financial (Basel III),100.0,40.0,45.73,16.0,100.0,25.0,financial,,Life Insurance,38.02281368821293,Excellent,2.63,1.13,Below Average,4.56,,,,,,,
ALLI.N0000,86.5,Strong,Financial (Basel III),96.09282173307693,38.4,65.785,23.0,100.0,25.0,financial,,Personal Credit Institutions,11.260921151979291,Strong,8.880268199233717,2.17,Good,2.16,,,,,,,
ALUM.N0000,42.5,Moderate,Industrial,44.55499999999999,17.8,40.3,14.1,42.49178247734139,10.6,asset_heavy,,Metal Doors Sash Frames Molding and Trim Manufacturing,28.519637462235647,,,,,1.04,1.94,Moderate,5.19,False,0.4,False,1.67
AMF.N0000,71.0,Good,Financial (Basel III),100.0,40.0,58.54,20.5,42.0,10.5,financial,,Personal Credit Institutions,20.752984389348025,Excellent,4.81858407079646,1.74,Average,0.91,,,,,,,
AMSL.N0000,77.4,Good,Industrial,93.20499999999998,37.3,59.036,20.7,77.82121134020619,19.5,asset_heavy,,Hospitals,47.358247422680414,,,,,1.23,0.39,Strong,1.81,False,0.51,False,3.93
APLA.N0000,84.0,Strong,Industrial,60.0,24.0,100.0,35.0,100.0,25.0,asset_heavy,,Plastics Materials Synthetic Resins and Nonvulcanizable Elastomers,92.50585480093677,,,,,17.48,0.0,No Data,0.0,True,15.38,True,1746.03
ASCO.N0000,44.7,Moderate,Industrial,70.75,28.3,21.75,7.6,35.05795516675779,8.8,asset_heavy,,Textile Mill Products,53.52651722252597,,,,,0.5,0.45,Strong,28.04,False,0.15,False,0.38
ASHO.N0000,95.8,Fortress,Industrial,100.0,40.0,87.97,30.8,100.0,25.0,asset_heavy,,Transportation Equipment,60.457239627434376,,,,,2.24,0.02,Fortress,0.04,True,1.1,True,397.92
ASIR.N0000,57.1,Moderate,Industrial,78.53999999999999,31.4,24.269999999999996,8.5,68.5764043790626,17.1,asset_heavy,,Hospitals,40.81423195347246,,,,,0.58,0.8,Good,2.26,False,0.13,False,3.03
ASIY.N0000,49.3,Moderate,Industrial,43.644999999999996,17.5,52.35000000000001,18.3,54.185994550408715,13.5,asset_heavy,,Groceries And Related Products,22.3433242506812,,,,,1.12,1.9,Moderate,6.17,False,0.53,False,2.77
ASPH.N0000,94.4,Fortress,Industrial,86.0,34.4,100.0,35.0,100.0,25.0,asset_heavy,,Asphalt Paving And Roofing Materials,94.07894736842105,,,,,3.96,0.01,Fortress,13.2,True,3.68,False,-0.49
