symbol,dimension_3_score,quality_label,industry_type,pillar1_score,pillar1_contribution,pillar2_score,pillar2_contribution,pillar3_score,pillar3_contribution,sector,industry,pb,pb_label,pe,pe_label,fair_pb,pb_ratio,iv_label,pe_historical_label,week52_position_label,ath_drawdown_label,current_vs_avg_pe,pfcf,ev_ebitda,earnings_yield,intrinsic_value,price_iv_ratio,ncav,price_ncav_ratio
AAF.N0000,79.8,Value,financial,88.288,35.3,100.0,35.0,38.0,9.5,,Commercial Banks,1.72,Deep Value,19.76,Fair,67.0,0.025671641791044777,Extreme Value (50%+ MOS),Historically Expensive,No Data,No Data,2.7180192572214583,,,,,,,
AAF.P0000,83.1,Deep Value,financial,95.992,38.4,100.0,35.0,38.93881705639615,9.7,,Commercial Banks,1.72,Deep Value,13.34,Value,67.0,0.025671641791044777,Extreme Value (50%+ MOS),Historically Expensive,No Data,No Data,1.8349381017881707,,,,,,,
AAIC.N0000,89.2,Deep Value,financial,100.0,40.0,100.0,35.0,56.64819875776398,14.2,,Insurance Carriers,2.54,Deep Value,8.45,Deep Value,206.50000000000003,0.012300242130750604,Extreme Value (50%+ MOS),Average,No Data,No Data,1.0496894409937887,,,,,,,
ABAN.N0000,73.3,Value,value,96.5508,38.6,71.86614463617963,25.2,38.0,9.5,,Household Appliances,,,11.57,Value,,,Value (10-30% MOS),Historically Expensive,No Data,No Data,2.229287090558767,8.58,6.14,8.64,8744700000.0,0.7501686735965785,0.0,0.0
ABL.N0000,92.1,Deep Value,financial,100.0,40.0,100.0,35.0,68.26421906693712,17.1,,Commercial Banks,0.66,Deep Value,7.22,Deep Value,52.333333333333336,0.012611464968152866,Extreme Value (50%+ MOS),Below Average,No Data,No Data,0.7322515212981745,,,,,,,
ACAP.N0000,80.1,Deep Value,value,94.625,37.9,85.0,29.7,50.0,12.5,,Hotels Rooming Houses Camps and Other Lodging Places,,,1.62,Deep Value,,,Extreme Value (50%+ MOS),No Historical Data,No Data,No Data,0.0,0.93,8.3,55.33,11312604444.444445,0.08126422209091452,0.0,0.0
ACL.N0000,51.1,Fairly Valued,value,78.56060000000001,31.4,29.0,10.1,38.0,9.5,,Drawing and Insulating of Nonferrous Wire,,,13.37,Value,,,Overvalued,Historically Expensive,No Data,No Data,2.409009009009009,19.64,7.39,7.48,10422780269.058296,6.860933278262515,0.0,0.0
ACME.N0000,50.0,Fairly Valued,value,50.0,20.0,50.0,17.5,50.0,12.5,,Converted Paper And Paperboard Products Except Containers And Boxes,,,0.0,No Data,,,Unable to Calculate,No Data,No Data,No Data,0.0,0.0,0.0,-40.34,0.0,0.0,0.0,0.0
AEL.N0000,57.4,Fairly Valued,value,74.71239999999999,29.9,50.0,17.5,39.98803738317757,10.0,,Engineering Services,,,11.27,Value,,,Unable to Calculate,Historically Expensive,No Data,No Data,1.7554517133956387,0.0,10.21,8.87,0.0,0.0,0.0,0.0
AFS.N0000,43.6,Slight Premium,value,41.595000000000006,16.6,50.0,17.5,38.0,9.5,,Electrical Work,,,32.05,Expensive,,,Unable to Calculate,Historically Expensive,No Data,No Data,0.0,0.0,18.27,3.13,0.0,0.0,0.0,0.0
AFSL.N0000,83.5,Deep Value,financial,96.772,38.7,100.0,35.0,39.16171919770774,9.8,,Finance Lessors,1.97,Deep Value,12.69,Value,108.08333333333334,0.018226676946800306,Extreme Value (50%+ MOS),Historically Expensive,No Data,No Data,1.818051575931232,,,,,,,
AGAL.N0000,51.6,Fairly Valued,value,76.0,30.4,29.0,10.1,44.052711370262394,11.0,,Food and Kindred Products,,,9.93,Deep Value,,,Overvalued,Historically Expensive,No Data,No Data,1.4475218658892126,93.77,5.93,10.05,1107936666.6666667,8.195414298651245,0.0,0.0
AGPL.N0000,46.7,Slight Premium,value,55.3495,22.1,35.73989189744035,12.5,48.175241882041085,12.0,,Miscellaneous Food Preparations And Kindred Products,,,19.0,Fair,,,Overvalued,Above Average,No Data,No Data,0.0,17.34,15.97,2.64,6040148888.888889,1.5148633201462656,0.0,0.0
AGST.N0000,47.0,Slight Premium,value,42.5,17.0,50.0,17.5,50.0,12.5,,Agricultural Chemicals,,,0.0,No Data,,,Unable to Calculate,No Data,No Data,No Data,0.0,0.0,44.43,-1.92,0.0,0.0,0.0,0.0
AGST.X0000,47.0,Slight Premium,value,42.5,17.0,50.0,17.5,50.0,12.5,,Agricultural Chemicals,,,0.0,No Data,,,Unable to Calculate,No Data,No Data,No Data,0.0,0.0,44.43,-1.92,0.0,0.0,0.0,0.0
AHPL.N0000,36.0,Overvalued,value,33.5,13.4,29.0,10.1,50.0,12.5,,Hotels and Motels,,,0.0,No Data,,,Overvalued,No Data,No Data,No Data,0.0,130.47,24.3,-0.01,2307085555.555556,11.39966393386172,0.0,0.0
AHUN.N0000,79.3,Value,value,92.6253,37.1,85.0,29.7,50.0,12.5,,Hotels and Motels,,,13.93,Value,,,Extreme Value (50%+ MOS),No Historical Data,No Data,No Data,0.0,5.05,5.82,7.19,203850000000.00006,0.18724552366936467,0.0,0.0
AINS.N0000,65.3,Fair Value,financial,82.81599999999999,33.1,50.0,17.5,58.64329411764706,14.7,,Life Insurance,1.18,Moderate Premium,12.42,Value,0.0,0.0,No ROE Data,Average,No Data,No Data,0.9741176470588235,,,,,,,
ALLI.N0000,85.4,Deep Value,financial,100.0,40.0,100.0,35.0,41.63098591549296,10.4,,Personal Credit Institutions,1.18,Deep Value,5.79,Deep Value,126.25000000000001,0.009346534653465344,Extreme Value (50%+ MOS),Historically Expensive,No Data,No Data,1.6309859154929578,,,,,,,
ALUM.N0000,64.2,Fair Value,value,75.6,30.2,50.0,17.5,65.76475806451613,16.4,,Metal Doors Sash Frames Molding and Trim Manufacturing,,,7.73,Deep Value,,,Unable to Calculate,Below Average,No Data,No Data,0.779233870967742,0.0,11.52,12.93,0.0,0.0,0.0,0.0
AMF.N0000,92.5,Deep Value,financial,100.0,40.0,100.0,35.0,70.0,17.5,,Personal Credit Institutions,1.65,Deep Value,6.63,Deep Value,86.0,0.019186046511627905,Extreme Value (50%+ MOS),Historically Cheap,No Data,No Data,0.2885117493472585,,,,,,,
AMSL.N0000,54.6,Fairly Valued,value,67.33359999999999,26.9,29.0,10.1,70.0,17.5,,Hospitals,,,13.2,Value,,,Overvalued,Historically Cheap,No Data,No Data,0.6731259561448241,2865.28,7.03,7.58,438859.96501697705,18775.920924300397,0.0,0.0
APLA.N0000,56.9,Fairly Valued,value,89.9856,36.0,32.56970960649791,11.4,38.0,9.5,,Plastics Materials Synthetic Resins and Nonvulcanizable Elastomers,,,13.01,Value,,,Overvalued,Historically Expensive,No Data,No Data,3.0185614849187936,10.13,7.64,7.68,4333684013.690105,1.696016593914405,0.0,0.0
ASCO.N0000,47.0,Slight Premium,value,42.5,17.0,50.0,17.5,50.0,12.5,,Textile Mill Products,,,0.0,No Data,,,Unable to Calculate,No Data,No Data,No Data,0.0,0.0,110.55,-0.67,0.0,0.0,0.0,0.0
ASHO.N0000,87.2,Deep Value,value,100.0,40.0,85.0,29.7,70.0,17.5,,Transportation Equipment,,,6.17,Deep Value,,,Extreme Value (50%+ MOS),Historically Cheap,No Data,No Data,0.12932299308321107,5.58,3.14,16.21,67770000000.00001,0.20702375682455362,0.0,0.0
ASIR.N0000,61.4,Fair Value,value,84.3883,33.8,29.0,10.1,70.0,17.5,,Hospitals,,,10.19,Value,,,Overvalued,Historically Cheap,No Data,No Data,0.6748344370860927,21.9,6.83,9.79,4561056406.9122925,8.280976298113627,0.0,0.0
ASIY.N0000,70.6,Value,value,76.4735,30.6,85.0,29.7,41.00460966542751,10.3,,Groceries And Related Products,,,18.06,Fair,,,Extreme Value (50%+ MOS),Historically Expensive,No Data,No Data,1.678438661710037,4.45,11.49,6.12,20815920000.000004,0.1647777278160177,0.0,0.0
ASPH.N0000,42.6,Slight Premium,value,37.9245,15.2,50.0,17.5,39.74261877172654,9.9,,Asphalt Paving And Roofing Materials,,,45.93,Expensive,,,Unable to Calculate,Historically Expensive,No Data,No Data,1.7740440324449593,0.0,0.0,2.36,0.0,0.0,0.0,0.0
ATL.N0000,89.3,Deep Value,financial,98.86,39.5,100.0,35.0,59.156861377506544,14.8,,Insurance Carriers,0.62,Deep Value,10.95,Value,96.0,0.006458333333333333,Extreme Value (50%+ MOS),Average,No Data,No Data,0.9546643417611158,,,,,,,
ATLL.N0000,74.9,Value,financial,76.0,30.4,100.0,35.0,38.0,9.5,,Life Insurance,2.71,Deep Value,10477.34,Very Expensive,24.5,0.11061224489795918,Extreme Value (50%+ MOS),Historically Expensive,No Data,No Data,9.18178950135834,,,,,,,
AUTO.N0000,50.0,Fairly Valued,value,50.0,20.0,50.0,17.5,50.0,12.5,,Motor Vehicles And Motor Vehicle Parts And Supplies,,,0.0,No Data,,,Unable to Calculate,No Data,No Data,No Data,0.0,0.0,0.0,-0.12,0.0,0.0,0.0,0.0
BALA.N0000,66.5,Fair Value,value,99.375,39.8,29.0,10.1,66.49179487179487,16.6,,Miscellaneous Food Preparations And Kindred Products,,,6.27,Deep Value,,,Overvalued,Below Average,No Data,No Data,0.7655677655677655,6.37,6.25,15.95,1275536537.0138018,2.532267721285235,0.0,0.0
BBH.N0000,63.9,Fair Value,value,54.175,21.7,85.0,29.7,50.0,12.5,,Hotels and Motels,,,242.0,Very Expensive,,,Extreme Value (50%+ MOS),No Historical Data,No Data,No Data,0.0,8.12,11.86,0.42,9996210000.000002,0.3011141222523336,0.0,0.0
BERU.N0000,40.1,Slight Premium,value,43.585499999999996,17.4,29.0,10.1,50.0,12.5,,Hotels and Motels,,,24.44,Premium,,,Overvalued,No Historical Data,No Data,No Data,0.0,32.18,15.05,3.36,921964444.4444445,2.8092189624087696,0.0,0.0
BFL.N0000,59.6,Fairly Valued,value,76.378,30.6,35.381010671209125,12.4,66.81836901121305,16.7,,Poultry Slaughtering and Processing,,,14.9,Value,,,Overvalued,Below Average,No Data,No Data,0.7594291539245668,17.56,8.32,6.71,4800143333.333334,1.53537081878805,0.0,0.0
BFN.N0000,78.8,Value,financial,85.84,34.3,100.0,35.0,38.0,9.5,,Personal Credit Institutions,1.88,Deep Value,23.6,Premium,65.41666666666667,0.02873885350318471,Extreme Value (50%+ MOS),Historically Expensive,No Data,No Data,2.0503909643788014,,,,,,,
BIL.N0000,53.6,Fairly Valued,value,66.562,26.6,50.0,17.5,38.0,9.5,,Miscellaneous Food Preparations And Kindred Products,,,10.67,Value,,,Unable to Calculate,Historically Expensive,No Data,No Data,0.0,0.0,0.0,-0.23,0.0,0.0,0.0,0.0
BLUE.N0000,50.0,Fairly Valued,value,50.0,20.0,50.0,17.5,50.0,12.5,,Jewelry Precious Metal,,,0.0,No Data,,,Unable to Calculate,No Data,No Data,No Data,0.0,0.0,0.0,-11.4,0.0,0.0,0.0,0.0
BOGA.N0000,27.6,Overvalued,value,20.0,8.0,29.0,10.1,38.0,9.5,,Mining and Quarrying Of Nonmetallic Minerals except Fuels,,,64.71,Expensive,,,Overvalued,Historically Expensive,No Data,No Data,2.6498771498771494,124.47,40.14,1.54,152980761.66562042,92.62602595071563,0.0,0.0
BOPL.N0000,57.9,Fairly Valued,value,90.78649999999999,36.3,29.0,10.1,45.751017964071856,11.4,,Miscellaneous Food Preparations And Kindred Products,,,8.81,Deep Value,,,Overvalued,Historically Expensive,No Data,No Data,1.318862275449102,13.23,8.27,11.35,2317395762.7118645,2.6797321803734246,0.0,0.0
BPPL.N0000,53.4,Fairly Valued,value,59.613499999999995,23.8,48.65545666807752,17.0,50.0,12.5,,Miscellaneous Manufacturing Industries,,,0.0,No Data,,,Slight Premium,No Data,No Data,No Data,0.0,12.88,14.66,-0.45,5179412222.222222,1.1256103491794758,0.0,0.0
BREW.N0000,83.1,Deep Value,value,99.2715,39.7,85.0,29.7,54.663583061889256,13.7,,Malt Beverages,,,10.36,Value,,,Extreme Value (50%+ MOS),Average,No Data,No Data,1.1248642779587403,4.8,2.78,9.65,324810000000.00006,0.17773467565653764,0.0,0.0
BRR.N0000,40.5,Slight Premium,value,29.0,11.6,50.0,17.5,45.49108598693081,11.4,,Hotels and Motels,,,129.05,Very Expensive,,,Unable to Calculate,Historically Expensive,No Data,No Data,1.3385540918991807,0.0,89.74,0.7,0.0,0.0,0.0,0.0
BRWN.N0000,55.5,Fairly Valued,value,51.684,20.7,50.0,17.5,69.14150875617423,17.3,,Wholesale Trade-Durable Goods,,,15.94,Fair,,,Unable to Calculate,Below Average,No Data,No Data,0.7157611136057477,0.0,64.21,-9.0,0.0,0.0,0.0,0.0
BUKI.N0000,87.1,Deep Value,value,100.0,40.0,85.0,29.7,69.37246913580248,17.3,,Agricultural Production Crops,,,4.61,Deep Value,,,Extreme Value (50%+ MOS),Below Average,No Data,No Data,0.7114197530864198,1.96,2.42,21.25,1321380000000.0002,0.07258320846387865,0.0,0.0
CABO.N0000,46.4,Slight Premium,value,48.476,19.4,50.0,17.5,38.0,9.5,,Real Estate,,,19.11,Fair,,,Unable to Calculate,Historically Expensive,No Data,No Data,2.005246589716684,0.0,185.14,5.23,0.0,0.0,0.0,0.0
CALF.N0000,38.0,Overvalued,financial,20.0,8.0,50.0,17.5,50.0,12.5,,Personal Credit Institutions,7.39,Expensive,136.27,Very Expensive,0.0,0.0,No ROE Data,No Historical Data,No Data,No Data,0.0,,,,,,,
CALH.N0000,59.0,Fairly Valued,value,72.5,29.0,50.0,17.5,50.0,12.5,,Security and Commodity Brokers Dealers Exchanges and Services,,,6.72,Deep Value,,,Unable to Calculate,No Historical Data,No Data,No Data,0.0,0.0,0.0,14.16,0.0,0.0,0.0,0.0
CALT.N0000,79.7,Value,value,87.5,35.0,77.64793535701119,27.2,70.0,17.5,,Security Brokers Dealers and Flotation Companies,,,3.51,Deep Value,,,Deep Value (30-50% MOS),Historically Cheap,No Data,No Data,0.3424390243902439,7.32,0.0,28.53,27123333333.333336,0.6400393265331202,0.0,0.0
CARE.N0000,47.0,Slight Premium,value,42.5,17.0,50.0,17.5,50.0,12.5,,Converted Paper And Paperboard Products Except Containers And Boxes,,,0.0,No Data,,,Unable to Calculate,No Data,No Data,No Data,0.0,0.0,24.77,-19.09,0.0,0.0,0.0,0.0
CARG.N0000,50.2,Fairly Valued,value,65.406,26.2,37.61593063790969,13.2,43.33753573859769,10.8,,Food and Kindred Products,,,22.06,Premium,,,Overvalued,Historically Expensive,No Data,No Data,1.5017018379850238,16.11,9.88,4.53,136417777777.77779,1.4076611064051605,0.0,0.0
CARS.N0000,87.2,Deep Value,value,100.0,40.0,85.0,29.7,70.0,17.5,,Multi-Sector Holdings,,,5.37,Deep Value,,,Extreme Value (50%+ MOS),Historically Cheap,No Data,No Data,0.6964980544747081,2.68,2.93,18.62,1327050000000.0002,0.09918993255717568,0.0,0.0
CBNK.N0000,87.0,Deep Value,financial,98.752,39.5,100.0,35.0,50.0,12.5,,Commercial Banks,0.77,Deep Value,11.04,Value,7.166666666666667,0.10744186046511628,Extreme Value (50%+ MOS),No Historical Data,No Data,No Data,0.0,,,,,,,
CCS.N0000,54.8,Fairly Valued,value,70.137,28.1,34.710308395202745,12.1,58.45049180327869,14.6,,Bottled and Canned Soft Drinks and Carbonated Waters,,,17.96,Fair,,,Overvalued,Average,No Data,No Data,0.9814207650273225,18.02,8.54,5.58,68094444444.44445,1.5736966631312719,0.0,0.0
CDB.N0000,88.1,Deep Value,financial,100.0,40.0,100.0,35.0,52.45631067961166,13.1,,Miscellaneous business Credit Institutions,1.02,Deep Value,6.07,Deep Value,138.5,0.007364620938628159,Extreme Value (50%+ MOS),Above Average,No Data,No Data,1.178640776699029,,,,,,,
