symbol,dimension6_moat,moat_score,pricing_score,retention_score,modifiers,penalties,sector,interpretation
AAF.N0000,85.0,85,70,85,28,0,Financial,"Exceptional Financial moat - wide competitive advantage, pricing power"
AAF.P0000,85.0,85,70,85,28,0,Financial,"Exceptional Financial moat - wide competitive advantage, pricing power"
AAIC.N0000,85.0,85,65,78,10,0,Financial,"Exceptional Financial moat - wide competitive advantage, pricing power"
ABAN.N0000,67.9,70,65,68,0,0,Industrial,Moderate Industrial moat - some competitive advantages
ABL.N0000,52.5,30,75,70,20,-23,Financial,Weak Financial moat - limited competitive advantages
ACAP.N0000,100.0,78,80,50,30,0,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
ACL.N0000,57.3,62,70,65,0,-8,Industrial,Moderate Industrial moat - some competitive advantages
ACME.N0000,13.0,35,40,40,0,-25,Industrial,"Poor Industrial moat - commodity business, no advantages"
AEL.N0000,77.8,62,70,80,8,0,Industrial,Strong Industrial moat - solid competitive advantages
AFS.N0000,85.80000000000001,82,65,85,8,0,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
AFSL.N0000,85.0,93,75,85,38,0,Financial,"Exceptional Financial moat - wide competitive advantage, pricing power"
AGAL.N0000,53.400000000000006,56,70,60,0,-8,Industrial,Weak Industrial moat - limited competitive advantages
AGPL.N0000,19.0,30,40,60,0,-23,Industrial,"Poor Industrial moat - commodity business, no advantages"
AGST.N0000,30.9,30,40,73,0,-15,Industrial,"Poor Industrial moat - commodity business, no advantages"
AGST.X0000,30.9,30,40,73,0,-15,Industrial,"Poor Industrial moat - commodity business, no advantages"
AHPL.N0000,62.0,65,60,60,0,0,Industrial,Moderate Industrial moat - some competitive advantages
AHUN.N0000,95.7,73,65,80,23,0,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
AINS.N0000,37.6,70,60,32,0,-18,Financial,"Poor Financial moat - commodity business, no advantages"
ALLI.N0000,85.0,97,75,90,48,0,Financial,"Exceptional Financial moat - wide competitive advantage, pricing power"
ALUM.N0000,91.4,71,60,90,18,0,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
AMF.N0000,85.0,100,80,90,53,0,Financial,"Exceptional Financial moat - wide competitive advantage, pricing power"
AMSL.N0000,68.5,65,65,70,10,-8,Industrial,Moderate Industrial moat - some competitive advantages
APLA.N0000,51.9,62,70,47,0,-8,Industrial,Weak Industrial moat - limited competitive advantages
ASCO.N0000,47.5,65,65,40,0,-10,Industrial,Weak Industrial moat - limited competitive advantages
ASHO.N0000,83.8,77,70,80,8,0,Industrial,Strong Industrial moat - solid competitive advantages
ASIR.N0000,92.5,70,65,90,18,0,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
ASIY.N0000,73.7,73,65,60,15,-8,Industrial,Strong Industrial moat - solid competitive advantages
ASPH.N0000,30.0,80,40,32,20,-18,Industrial,"Poor Industrial moat - commodity business, no advantages"
ATL.N0000,81.0,70,65,85,8,0,Financial,Strong Financial moat - solid competitive advantages
ATLL.N0000,64.0,65,50,70,10,-8,Financial,Moderate Financial moat - some competitive advantages
AUTO.N0000,30.0,51,40,55,0,0,Industrial,"Poor Industrial moat - commodity business, no advantages"
BALA.N0000,6.600000000000001,30,60,32,0,-33,Industrial,"Poor Industrial moat - commodity business, no advantages"
BBH.N0000,89.1,78,70,73,15,0,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
BERU.N0000,89.3,86,65,68,15,0,Industrial,"Exceptional Industrial moat - wide competitive advantage, pricing power"
BFL.N0000,65.80000000000001,51,40,78,10,0,Industrial,Moderate Industrial moat - some competitive advantages
BFN.N0000,84.5,80,70,65,20,-8,Financial,Strong Financial moat - solid competitive advantages
BIL.N0000,30.0,51,40,78,10,0,Industrial,"Poor Industrial moat - commodity business, no advantages"
BLUE.N0000,30.0,70,40,40,0,-10,Industrial,"Poor Industrial moat - commodity business, no advantages"
