2026-02-15 08:47:57 | cse_ohlcv_uploader | INFO | 
2026-02-15 08:47:57 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 08:47:57 | cse_ohlcv_uploader | INFO | UPLOADING CSE PRICES TO SUPABASE
2026-02-15 08:47:57 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 08:47:57 | cse_ohlcv_uploader | INFO | File: output/2026-02-15/cse_prices_20260215_084756.csv
2026-02-15 08:47:57 | cse_ohlcv_uploader | INFO | Rows: 288
2026-02-15 08:47:57 | cse_ohlcv_uploader | INFO | Columns: ['symbol', 'price', 'open', 'high', 'low', 'previous_close', 'change_rs', 'change_pct', 'share_volume', 'trade_volume', 'collection_date', 'collection_timestamp']
2026-02-15 08:47:57 | cse_ohlcv_uploader | INFO | Uploading 288 prices in 3 batches...
2026-02-15 08:48:00 | cse_ohlcv_uploader | INFO |    Batch 1/3: 100 prices uploaded
2026-02-15 08:48:00 | cse_ohlcv_uploader | INFO |    Batch 2/3: 100 prices uploaded
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO |    Batch 3/3: 88 prices uploaded
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | 
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | UPLOAD SUMMARY
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | Success: 288 prices
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | Errors: 0 prices
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | Total: 288 prices
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | ALL PRICES UPLOADED SUCCESSFULLY!
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | 
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | CSE PRICE UPLOAD COMPLETE!
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | Table: cse_daily_prices
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | Runtime: ~5 seconds
2026-02-15 08:48:01 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 09:06:48 | cse_ohlcv_uploader | INFO | 
2026-02-15 09:06:48 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 09:06:48 | cse_ohlcv_uploader | INFO | UPLOADING CSE PRICES TO SUPABASE
2026-02-15 09:06:48 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 09:06:48 | cse_ohlcv_uploader | INFO | File: output/2026-02-15/cse_prices_20260215_090647.csv
2026-02-15 09:06:48 | cse_ohlcv_uploader | INFO | Rows: 288
2026-02-15 09:06:48 | cse_ohlcv_uploader | INFO | Columns: ['symbol', 'price', 'open', 'high', 'low', 'previous_close', 'change_rs', 'change_pct', 'share_volume', 'trade_volume', 'collection_date', 'collection_timestamp']
2026-02-15 09:06:48 | cse_ohlcv_uploader | INFO | Uploading 288 prices in 3 batches...
2026-02-15 09:06:50 | cse_ohlcv_uploader | INFO |    Batch 1/3: 100 prices uploaded
2026-02-15 09:06:50 | cse_ohlcv_uploader | INFO |    Batch 2/3: 100 prices uploaded
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO |    Batch 3/3: 88 prices uploaded
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | 
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | UPLOAD SUMMARY
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | Success: 288 prices
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | Errors: 0 prices
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | Total: 288 prices
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | ALL PRICES UPLOADED SUCCESSFULLY!
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | 
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | CSE PRICE UPLOAD COMPLETE!
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | ======================================================================
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | Table: cse_daily_prices
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | Runtime: ~5 seconds
2026-02-15 09:06:51 | cse_ohlcv_uploader | INFO | ======================================================================
